parent,child
Condition_of_Operators,Personnel_Factors
Condition_of_Operators,Inadequate_Supervision
Personnel_Factors,Inadequate_Supervision
Situational_Factors,Organizational_Climate
Situational_Factors,Resource_Management/Organizational_Process
Situational_Factors,Supervisory_Violation
Inadequate_Supervision,Error_Class
Failed_to_Correct_Problem,Violation_Class
Failed_to_Correct_Problem,Error_Class
Failed_to_Correct_Problem,Organizational_Climate
Failed_to_Correct_Problem,Personnel_Factors
Failed_to_Correct_Problem,Neither
Failed_to_Correct_Problem,Planned_Inappropriate_Operations
Supervisory_Violation,Violation_Class
Supervisory_Violation,Failed_to_Correct_Problem
Supervisory_Violation,Error_Class
Organizational_Climate,Resource_Management/Organizational_Process
Organizational_Climate,Neither
Organizational_Climate,Inadequate_Supervision
Organizational_Climate,Condition_of_Operators
Organizational_Climate,Planned_Inappropriate_Operations
Resource_Management/Organizational_Process,Personnel_Factors
