Chain,Chained_Probability
Organizational_Climate → Inadequate_Supervision → Condition_of_Operators → Error,0.1024
Organizational_Climate → Inadequate_Supervision → Condition_of_Operators → Violation,0.127407
Organizational_Climate → Inadequate_Supervision → Personnel_Factors → Error,0.042399
Organizational_Climate → Inadequate_Supervision → Personnel_Factors → Violation,0.074876
Organizational_Climate → Inadequate_Supervision → Situational_Factors → Error,0.129348
Organizational_Climate → Inadequate_Supervision → Situational_Factors → Violation,0.147747
Organizational_Climate → Planned_Inappropriate_Operations → Condition_of_Operators → Error,0.072559
Organizational_Climate → Planned_Inappropriate_Operations → Condition_of_Operators → Violation,0.090279
Organizational_Climate → Planned_Inappropriate_Operations → Personnel_Factors → Error,0.044022
Organizational_Climate → Planned_Inappropriate_Operations → Personnel_Factors → Violation,0.077743
Organizational_Climate → Planned_Inappropriate_Operations → Situational_Factors → Error,0.094356
Organizational_Climate → Planned_Inappropriate_Operations → Situational_Factors → Violation,0.107778
Organizational_Climate → Failed_to_Correct_Problem → Condition_of_Operators → Error,0.126346
Organizational_Climate → Failed_to_Correct_Problem → Condition_of_Operators → Violation,0.157201
Organizational_Climate → Failed_to_Correct_Problem → Personnel_Factors → Error,0.081487
Organizational_Climate → Failed_to_Correct_Problem → Personnel_Factors → Violation,0.143906
Organizational_Climate → Failed_to_Correct_Problem → Situational_Factors → Error,0.140476
Organizational_Climate → Failed_to_Correct_Problem → Situational_Factors → Violation,0.160457
Organizational_Climate → Supervisory_Violation → Condition_of_Operators → Error,0.015942
Organizational_Climate → Supervisory_Violation → Condition_of_Operators → Violation,0.019836
Organizational_Climate → Supervisory_Violation → Personnel_Factors → Error,0.012073
Organizational_Climate → Supervisory_Violation → Personnel_Factors → Violation,0.021321
Organizational_Climate → Supervisory_Violation → Situational_Factors → Error,0.017302
Organizational_Climate → Supervisory_Violation → Situational_Factors → Violation,0.019763
Resource_Management/Organizational_Process → Inadequate_Supervision → Condition_of_Operators → Error,0.055
Resource_Management/Organizational_Process → Inadequate_Supervision → Condition_of_Operators → Violation,0.068431
Resource_Management/Organizational_Process → Inadequate_Supervision → Personnel_Factors → Error,0.022773
Resource_Management/Organizational_Process → Inadequate_Supervision → Personnel_Factors → Violation,0.040217
Resource_Management/Organizational_Process → Inadequate_Supervision → Situational_Factors → Error,0.069474
Resource_Management/Organizational_Process → Inadequate_Supervision → Situational_Factors → Violation,0.079356
Resource_Management/Organizational_Process → Planned_Inappropriate_Operations → Condition_of_Operators → Error,0.091282
Resource_Management/Organizational_Process → Planned_Inappropriate_Operations → Condition_of_Operators → Violation,0.113574
Resource_Management/Organizational_Process → Planned_Inappropriate_Operations → Personnel_Factors → Error,0.055381
Resource_Management/Organizational_Process → Planned_Inappropriate_Operations → Personnel_Factors → Violation,0.097803
Resource_Management/Organizational_Process → Planned_Inappropriate_Operations → Situational_Factors → Error,0.118703
Resource_Management/Organizational_Process → Planned_Inappropriate_Operations → Situational_Factors → Violation,0.135588
Resource_Management/Organizational_Process → Failed_to_Correct_Problem → Condition_of_Operators → Error,0.111766
Resource_Management/Organizational_Process → Failed_to_Correct_Problem → Condition_of_Operators → Violation,0.13906
Resource_Management/Organizational_Process → Failed_to_Correct_Problem → Personnel_Factors → Error,0.072084
Resource_Management/Organizational_Process → Failed_to_Correct_Problem → Personnel_Factors → Violation,0.1273
Resource_Management/Organizational_Process → Failed_to_Correct_Problem → Situational_Factors → Error,0.124265
Resource_Management/Organizational_Process → Failed_to_Correct_Problem → Situational_Factors → Violation,0.141941
Resource_Management/Organizational_Process → Supervisory_Violation → Condition_of_Operators → Error,0.012123
Resource_Management/Organizational_Process → Supervisory_Violation → Condition_of_Operators → Violation,0.015083
Resource_Management/Organizational_Process → Supervisory_Violation → Personnel_Factors → Error,0.009181
Resource_Management/Organizational_Process → Supervisory_Violation → Personnel_Factors → Violation,0.016213
Resource_Management/Organizational_Process → Supervisory_Violation → Situational_Factors → Error,0.013157
Resource_Management/Organizational_Process → Supervisory_Violation → Situational_Factors → Violation,0.015028
