HFACS_category,N_cases,P_Violation,P_Situational_Factors,P_Personnel_Factors,P_Condition_of_Operators,P_Inadequate_Supervision,P_Failed_to_Correct_Problem,P_Planned_Inappropriate_Operations,P_Supervisory_Violation,P_Organizational_Climate,P_Resource_Management/Organizational_Process,P_Error
Error,1073,0.48,0.8639,0.3663,0.7176,0.3644,0.2097,0.2432,0.0168,0.8108,0.5266,
Violation,1272,,0.8325,0.5456,0.7531,0.2822,0.4403,0.2586,0.0692,0.8184,0.6132,0.4049
Situational_Factors,1992,0.5316,,0.4779,0.7113,0.2545,0.2987,0.2691,0.0397,0.6797,0.6787,0.4654
Personnel_Factors,1057,0.6566,0.9007,,0.6187,0.1968,0.4087,0.2961,0.0653,0.6566,0.7597,0.3718
Condition_of_Operators,1682,0.5696,0.8424,0.3888,,0.2426,0.3234,0.2491,0.044,0.7747,0.6094,0.4578
Inadequate_Supervision,612,0.5866,0.8284,0.3399,0.6667,,0.3268,0.2092,0.0588,0.9134,0.4281,0.6389
Failed_to_Correct_Problem,685,0.8175,0.8686,0.6307,0.7942,0.292,,0.2993,0.0993,0.8453,0.6526,0.3285
Planned_Inappropriate_Operations,584,0.5634,0.9178,0.536,0.7175,0.2192,0.351,,0.0616,0.6301,0.6918,0.4469
Supervisory_Violation,102,0.8627,0.7745,0.6765,0.7255,0.3529,0.6667,0.3529,,0.7843,0.5196,0.1765
Organizational_Climate,1666,0.6248,0.8127,0.4166,0.7821,0.3355,0.3475,0.2209,0.048,,0.524,0.5222
Resource_Management/Organizational_Process,1454,0.5365,0.9298,0.5523,0.705,0.1802,0.3074,0.2779,0.0365,0.6004,,0.3886
