feature,importance
Anomaly_Ground Excursion Runway,0.1476912854292234
Contributing_Procedure,0.11098181362636364
Contributing_Human Factors,0.08458513165011547
Anomaly_Aircraft Equipment Problem Critical,0.05572263465437153
HumanFactors_Training / Qualification,0.04545622245495994
HumanFactors_Time Pressure,0.04428133433504089
HumanFactors_Situational Awareness,0.03966532780147251
Anomaly_Inflight Event / Encounter Weather / Turbulence,0.038359900497614945
Anomaly_Aircraft Equipment Problem Less Severe,0.034735355643720926
HumanFactors_Troubleshooting,0.03473031598538048
HumanFactors_Confusion,0.03314651451298027
HumanFactors_Workload,0.032987250940814894
Contributing_Aircraft,0.0329328549588806
HumanFactors_Communication Breakdown,0.03118485796888683
Contributing_Software and Automation,0.028555300996338153
Contributing_Airport,0.024346420779355726
HumanFactors_Human-Machine Interface,0.020386568118581257
HumanFactors_Distraction,0.01934922563275246
Anomaly_Ground Event / Encounter Object,0.017832964213822675
Contributing_Company Policy,0.017660205426326403
HumanFactors_Fatigue,0.012918564123809824
Anomaly_Ground Event / Encounter Ground Equipment Issue,0.012862997897372434
Anomaly_Ground Excursion Taxiway,0.012591689564363392
Contributing_Equipment / Tooling,0.01134125807534264
HumanFactors_Other / Unknown,0.009747148235324134
Contributing_Staffing,0.007177838691906476
Anomaly_Inflight Event / Encounter Object,0.006718995217528908
Anomaly_ATC Issue All Types,0.0064364406444282355
Contributing_Manuals,0.005818726781791244
Anomaly_Inflight Event / Encounter Wake Vortex Encounter,0.004255650646953043
Anomaly_Ground Event / Encounter Person / Animal / Bird,0.0029413240991769353
Anomaly_Ground Incursion Runway,0.0027822683536086745
Anomaly_Inflight Event / Encounter Bird / Animal,0.0027090594133551875
Contributing_Chart Or Publication,0.00206450539982586
Contributing_Airspace Structure,0.0018001745126994687
Contributing_MEL,0.0017560143875683294
Anomaly_Ground Event / Encounter Weather / Turbulence,0.0014858583279424235
HumanFactors_Physiological - Other,0.0
Anomaly_Ground Event / Encounter FOD,0.0
Anomaly_Ground Event / Encounter Jet Blast,0.0
Anomaly_Ground Excursion Ramp,0.0
Anomaly_Ground Incursion Ramp,0.0
Anomaly_Ground Incursion Taxiway,0.0
Contributing_Incorrect / Not Installed / Unavailable Part,0.0
Contributing_ATC Equipment / Nav Facility / Buildings,0.0
Contributing_Logbook Entry,0.0
