,importance
Anomaly_Ground Excursion Runway,0.2668995873266521
Contributing_Human Factors,0.20144902144965315
HumanFactors_Communication Breakdown,0.09484179938302761
Contributing_Chart Or Publication,0.0938906754097926
Contributing_Procedure,0.08864699574900267
Contributing_Weather,0.07508143118590735
Contributing_Software and Automation,0.034110352284230344
HumanFactors_Training / Qualification,0.02062602434493336
Anomaly_Aircraft Equipment Problem Critical,0.018627642409514204
HumanFactors_Workload,0.015670161980105634
Anomaly_Aircraft Equipment Problem Less Severe,0.013276860145158283
HumanFactors_Troubleshooting,0.011600193099687916
Contributing_Logbook Entry,0.007833334583938128
HumanFactors_Time Pressure,0.00761354400579227
Anomaly_ATC Issue All Types,0.0067637716609363395
Anomaly_Inflight Event / Encounter Bird / Animal,0.006302391001505205
HumanFactors_Confusion,0.005773930234586608
Contributing_Company Policy,0.005454474817394722
Anomaly_Ground Excursion Taxiway,0.00508088241619622
Contributing_Environment - Non Weather Related,0.0047308412411762885
Contributing_Airport,0.004161301167603587
Anomaly_Ground Event / Encounter Object,0.0036540259836993
HumanFactors_Human-Machine Interface,0.0034686946172509323
HumanFactors_Distraction,0.00230730575684605
Anomaly_Ground Event / Encounter Ground Equipment Issue,0.002134757745409302
Anomaly_Ground Event / Encounter Person / Animal / Bird,0.0
Anomaly_Inflight Event / Encounter Wake Vortex Encounter,0.0
Anomaly_Inflight Event / Encounter Weather / Turbulence,0.0
Anomaly_Ground Event / Encounter Weather / Turbulence,0.0
HumanFactors_Situational Awareness,0.0
HumanFactors_Other / Unknown,0.0
HumanFactors_Physiological - Other,0.0
Anomaly_Ground Event / Encounter FOD,0.0
Contributing_ATC Equipment / Nav Facility / Buildings,0.0
Anomaly_Ground Incursion Taxiway,0.0
Anomaly_Inflight Event / Encounter Object,0.0
Anomaly_Ground Excursion Ramp,0.0
Anomaly_Ground Event / Encounter Jet Blast,0.0
Anomaly_Ground Incursion Ramp,0.0
Anomaly_Ground Incursion Runway,0.0
Contributing_Equipment / Tooling,0.0
Contributing_Staffing,0.0
Contributing_Manuals,0.0
Contributing_MEL,0.0
HumanFactors_Fatigue,0.0
Contributing_Incorrect / Not Installed / Unavailable Part,0.0
Contributing_Aircraft,0.0
Contributing_Airspace Structure,0.0
