parent,child,N_parent,N_joint,P_child_given_parent,w_bayes
Organizational_Climate,Inadequate_Supervision,1666,559,0.335534,0.33573141486810554
Organizational_Climate,Failed_to_Correct_Problem,1666,579,0.347539,0.34772182254196643
Organizational_Climate,Planned_Inappropriate_Operations,1666,368,0.220888,0.22122302158273383
Organizational_Climate,Supervisory_Violation,1666,80,0.048019,0.048561151079136694
Resource_Management/Organizational_Process,Inadequate_Supervision,1454,262,0.180193,0.18063186813186813
Resource_Management/Organizational_Process,Failed_to_Correct_Problem,1454,447,0.307428,0.3076923076923077
Resource_Management/Organizational_Process,Planned_Inappropriate_Operations,1454,404,0.277854,0.27815934065934067
Resource_Management/Organizational_Process,Supervisory_Violation,1454,53,0.036451,0.03708791208791209
Inadequate_Supervision,Condition_of_Operators,612,408,0.666667,0.6661237785016286
Inadequate_Supervision,Personnel_Factors,612,208,0.339869,0.34039087947882735
Inadequate_Supervision,Situational_Factors,612,507,0.828431,0.8273615635179153
Failed_to_Correct_Problem,Condition_of_Operators,685,544,0.794161,0.7933042212518195
Failed_to_Correct_Problem,Personnel_Factors,685,432,0.630657,0.6302765647743813
Failed_to_Correct_Problem,Situational_Factors,685,595,0.868613,0.8675400291120815
Planned_Inappropriate_Operations,Condition_of_Operators,584,419,0.717466,0.7167235494880546
Planned_Inappropriate_Operations,Personnel_Factors,584,313,0.535959,0.5358361774744027
Planned_Inappropriate_Operations,Situational_Factors,584,536,0.917808,0.9163822525597269
Supervisory_Violation,Condition_of_Operators,102,74,0.72549,0.7211538461538461
Supervisory_Violation,Personnel_Factors,102,69,0.676471,0.6730769230769231
Supervisory_Violation,Situational_Factors,102,79,0.77451,0.7692307692307693
Condition_of_Operators,Error,1682,770,0.457788,0.4578384798099763
Condition_of_Operators,Violation,1682,958,0.56956,0.5694774346793349
Personnel_Factors,Error,1057,393,0.371807,0.3720491029272899
Personnel_Factors,Violation,1057,694,0.656575,0.6562795089707271
Situational_Factors,Error,1992,927,0.465361,0.4653961885656971
Situational_Factors,Violation,1992,1059,0.531627,0.5315947843530592
