,Organizational_Climate,Inadequate_Supervision,Failed_to_Correct_Problem,Planned_Inappropriate_Operations,Supervisory_Violation,Resource_Management/Organizational_Process,Condition_of_Operators,Personnel_Factors,Situational_Factors,Error,Violation
Organizational_Climate,0.0,0.335534,0.347539,0.220888,0.048019,0.0,0.0,0.0,0.0,0.0,0.0
Inadequate_Supervision,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.339869,0.828431,0.0,0.0
Failed_to_Correct_Problem,0.0,0.0,0.0,0.0,0.0,0.0,0.794161,0.630657,0.868613,0.0,0.0
Planned_Inappropriate_Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.717466,0.535959,0.917808,0.0,0.0
Supervisory_Violation,0.0,0.0,0.0,0.0,0.0,0.0,0.72549,0.676471,0.77451,0.0,0.0
Resource_Management/Organizational_Process,0.0,0.180193,0.307428,0.277854,0.036451,0.0,0.0,0.0,0.0,0.0,0.0
Condition_of_Operators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457788,0.56956
Personnel_Factors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371807,0.656575
Situational_Factors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465361,0.531627
Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Violation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
