parent,child,N_parent,N_joint,P_child_given_parent
Organizational_Climate,Inadequate_Supervision,1666,559,0.335534
Organizational_Climate,Failed_to_Correct_Problem,1666,579,0.347539
Organizational_Climate,Planned_Inappropriate_Operations,1666,368,0.220888
Organizational_Climate,Supervisory_Violation,1666,80,0.048019
Resource_Management/Organizational_Process,Inadequate_Supervision,1454,262,0.180193
Resource_Management/Organizational_Process,Failed_to_Correct_Problem,1454,447,0.307428
Resource_Management/Organizational_Process,Planned_Inappropriate_Operations,1454,404,0.277854
Resource_Management/Organizational_Process,Supervisory_Violation,1454,53,0.036451
Inadequate_Supervision,Condition_of_Operators,612,408,0.666667
Inadequate_Supervision,Personnel_Factors,612,208,0.339869
Inadequate_Supervision,Situational_Factors,612,507,0.828431
Failed_to_Correct_Problem,Condition_of_Operators,685,544,0.794161
Failed_to_Correct_Problem,Personnel_Factors,685,432,0.630657
Failed_to_Correct_Problem,Situational_Factors,685,595,0.868613
Planned_Inappropriate_Operations,Condition_of_Operators,584,419,0.717466
Planned_Inappropriate_Operations,Personnel_Factors,584,313,0.535959
Planned_Inappropriate_Operations,Situational_Factors,584,536,0.917808
Supervisory_Violation,Condition_of_Operators,102,74,0.72549
Supervisory_Violation,Personnel_Factors,102,69,0.676471
Supervisory_Violation,Situational_Factors,102,79,0.77451
Condition_of_Operators,Error,1682,770,0.457788
Condition_of_Operators,Violation,1682,958,0.56956
Personnel_Factors,Error,1057,393,0.371807
Personnel_Factors,Violation,1057,694,0.656575
Situational_Factors,Error,1992,927,0.465361
Situational_Factors,Violation,1992,1059,0.531627
