parent,child,P(child=1|parent=1)
Situational_Factors,Organizational_Climate,0.679718875502008
Situational_Factors,Resource_Management/Organizational_Process,0.678714859437751
Personnel_Factors,Violation,0.6565752128666036
Personnel_Factors,Failed_to_Correct_Problem,0.4087038789025544
Condition_of_Operators,Personnel_Factors,0.38882282996432815
Condition_of_Operators,Inadequate_Supervision,0.24256837098692033
Condition_of_Operators,Organizational_Climate,0.7746730083234245
Inadequate_Supervision,Error,0.6388888888888888
Inadequate_Supervision,Personnel_Factors,0.33986928104575165
Inadequate_Supervision,Organizational_Climate,0.9133986928104575
Inadequate_Supervision,Resource_Management/Organizational_Process,0.42810457516339867
Failed_to_Correct_Problem,Error,0.3284671532846715
Failed_to_Correct_Problem,Planned_Inappropriate_Operations,0.29927007299270075
Failed_to_Correct_Problem,Supervisory_Violation,0.09927007299270073
Failed_to_Correct_Problem,Violation,0.8175182481751825
Organizational_Climate,Error,0.5222088835534213
Organizational_Climate,Violation,0.6248499399759904
Organizational_Climate,Failed_to_Correct_Problem,0.3475390156062425
Organizational_Climate,Planned_Inappropriate_Operations,0.22088835534213686
Organizational_Climate,Resource_Management/Organizational_Process,0.5240096038415366
Resource_Management/Organizational_Process,Personnel_Factors,0.5522696011004127
