parent,child
Personnel_Factors,Violation
Personnel_Factors,Inadequate_Supervision
Personnel_Factors,Failed_to_Correct_Problem
Personnel_Factors,Condition_of_Operators
Personnel_Factors,Resource_Management/Organizational_Process
Condition_of_Operators,Inadequate_Supervision
Condition_of_Operators,Organizational_Climate
Inadequate_Supervision,Error
Inadequate_Supervision,Organizational_Climate
Failed_to_Correct_Problem,Error
Failed_to_Correct_Problem,Violation
Failed_to_Correct_Problem,Planned_Inappropriate_Operations
Failed_to_Correct_Problem,Supervisory_Violation
Organizational_Climate,Situational_Factors
Organizational_Climate,Failed_to_Correct_Problem
Organizational_Climate,Planned_Inappropriate_Operations
Resource_Management/Organizational_Process,Situational_Factors
Resource_Management/Organizational_Process,Inadequate_Supervision
Resource_Management/Organizational_Process,Organizational_Climate
