,class_0,class_1,class_2
HumanFactors_Confusion,-0.02497263866253548,0.06927957415011528,-0.04430693548757976
HumanFactors_Distraction,-0.03692470139029276,-0.08422776408317442,0.12115246547346718
HumanFactors_Situational Awareness,-0.006415778256882779,0.013855031092897352,-0.0074392528360143
HumanFactors_Other / Unknown,0.0718444153408582,0.08640403975696914,-0.15824845509782726
HumanFactors_Physiological - Other,0.02755730842992687,-0.001475567517325491,-0.02608174091260132
HumanFactors_Communication Breakdown,-0.1460527891154004,-0.1641001525970851,0.3101529417124856
HumanFactors_Troubleshooting,-0.11153444637367402,-0.08122146268267418,0.19275590905634815
HumanFactors_Human-Machine Interface,0.035921970935312936,0.08578425800037455,-0.121706228935687
Contributing_Weather,-0.11802434108812544,0.21564061706060902,-0.09761627597248364
Contributing_Environment - Non Weather Related,-0.03761977346085157,-0.07156772496130491,0.10918749842215644
Anomaly_Ground Event / Encounter Weather / Turbulence,-0.07046252893044375,0.07341339412280909,-0.0029508651923651303
Anomaly_Inflight Event / Encounter Weather / Turbulence,0.0031929602947302726,0.08258969308091632,-0.085782653375647
Anomaly_Inflight Event / Encounter Wake Vortex Encounter,0.09172709156518452,0.12258372178820771,-0.21431081335339203
Anomaly_Inflight Event / Encounter Bird / Animal,0.26934393412358404,-0.15023233314224993,-0.11911160098133404
Anomaly_Ground Event / Encounter Person / Animal / Bird,0.008609480212955134,0.05258519860512237,-0.0611946788180774
Anomaly_Ground Event / Encounter FOD,0.0350018459686463,-0.12322653261365513,0.08822468664500888
Anomaly_Ground Event / Encounter Object,0.03991112318636139,0.02959142267865664,-0.06950254586501826
Anomaly_Inflight Event / Encounter Object,0.0878922129274469,0.009137133840098108,-0.09702934676754497
Anomaly_Ground Event / Encounter Jet Blast,0.0018047943821223242,0.020533883122688102,-0.02233867750481093
Anomaly_Ground Excursion Ramp,0.050451429071319415,0.04882682425613664,-0.0992782533274561
Anomaly_Ground Excursion Runway,-0.20411823801530934,0.5698609568012046,-0.3657427187858948
Anomaly_Ground Excursion Taxiway,-0.022473411171680297,0.12374699998278522,-0.10127358881110446
Anomaly_Ground Incursion Ramp,-0.03819405579653126,-0.017318953874272777,0.05551300967080399
Anomaly_Ground Incursion Runway,-0.05611260998473672,-0.021357711595919145,0.07747032158065582
Anomaly_Ground Incursion Taxiway,-0.0012415550403513352,0.02444076582951195,-0.02319921078916038
Anomaly_ATC Issue All Types,-0.04418574390054323,0.10642215523448391,-0.0622364113339408
Anomaly_Aircraft Equipment Problem Critical,0.1979483073994206,-0.3881020964855172,0.19015378908609679
Anomaly_Aircraft Equipment Problem Less Severe,0.08075232757097493,-0.2616280096349664,0.18087568206399154
Anomaly_Ground Event / Encounter Ground Equipment Issue,-0.05601358406332764,0.071472411430664,-0.015458827367336236
Contributing_ATC Equipment / Nav Facility / Buildings,-0.04548631719039517,0.0071550160596059635,0.03833130113078927
Contributing_Equipment / Tooling,0.07188501719132573,-0.17211714565692765,0.10023212846560195
Contributing_Software and Automation,-0.09373728225863406,0.2575922308264602,-0.16385494856782612
Contributing_Staffing,0.0585230536068169,-0.09047255649322303,0.031949502886406356
Contributing_Manuals,0.11943286866969653,-0.10668440635622828,-0.012748462313468113
HumanFactors_Training / Qualification,-0.13443456429711753,0.15371826407799677,-0.019283699780879134
Contributing_MEL,0.06901643270268844,-0.13431539355680647,0.06529896085411804
Contributing_Procedure,-0.10371742025893295,-0.24791271408336815,0.3516301343423014
HumanFactors_Time Pressure,-0.053652421859907096,-0.015486818182496425,0.06913924004240306
HumanFactors_Workload,0.010779400753822364,0.06202687517326606,-0.07280627592708833
HumanFactors_Fatigue,0.004101918093180371,-0.032589622505564055,0.02848770441238391
Contributing_Company Policy,0.033717638958746875,-0.30018419624090736,0.26646655728216007
Contributing_Human Factors,-0.42181385668306526,0.10835424034623248,0.3134596163368334
Contributing_Incorrect / Not Installed / Unavailable Part,-0.09279366088098212,-0.018642472807874347,0.1114361336888567
Contributing_Aircraft,0.04432172997903903,0.1569191233661448,-0.20124085334518407
Contributing_Airport,0.19601067889498097,-0.0798112589823098,-0.11619941991267119
Contributing_Airspace Structure,-0.14151422366592645,0.08776103036822216,0.053753193297704456
Contributing_Chart Or Publication,0.002996814826635456,-0.20243893750896472,0.19944212268232864
Contributing_Logbook Entry,-0.12802506751026316,-0.2126467138410235,0.34067178135128634
