_ACN,Time_Date,Time_Local Time Of Day,Place_Locale Reference,Place_State Reference,Place_Relative Position.Angle.Radial,Place_Relative Position.Distance.Nautical Miles,Place_Altitude.AGL.Single Value,Place_Altitude.MSL.Single Value,Place_Latitude / Longitude (UAS),Environment_Flight Conditions,Environment_Weather Elements / Visibility,Environment_Work Environment Factor,Environment_Light,Environment_Ceiling,Environment_RVR.Single Value,Aircraft 1_ATC / Advisory,Aircraft 1_Aircraft Operator,Aircraft 1_Make Model Name,Aircraft 1_Aircraft Zone,Aircraft 1_Crew Size,Aircraft 1_Operating Under FAR Part,Aircraft 1_Flight Plan,Aircraft 1_Mission,Aircraft 1_Nav In Use,Aircraft 1_Flight Phase,Aircraft 1_Route In Use,Aircraft 1_Airspace,Aircraft 1_Maintenance Status.Maintenance Deferred,Aircraft 1_Maintenance Status.Records Complete,Aircraft 1_Maintenance Status.Released For Service,Aircraft 1_Maintenance Status.Required / Correct Doc On Board,Aircraft 1_Maintenance Status.Maintenance Type,Aircraft 1_Maintenance Status.Maintenance Items Involved,Aircraft 1_Cabin Lighting,Aircraft 1_Number Of Seats.Number,Aircraft 1_Passengers On Board.Number,Aircraft 1_Crew Size Flight Attendant.Number Of Crew,Aircraft 1_Airspace Authorization Provider (UAS),Aircraft 1_Operating Under Waivers / Exemptions / Authorizations (UAS),Aircraft 1_Waivers / Exemptions / Authorizations (UAS),Aircraft 1_Airworthiness Certification (UAS),Aircraft 1_Weight Category (UAS),Aircraft 1_Configuration (UAS),Aircraft 1_Flight Operated As (UAS),Aircraft 1_Flight Operated with Visual Observer (UAS),Aircraft 1_Control Mode (UAS),Aircraft 1_Flying In / Near / Over (UAS),Aircraft 1_Passenger Capable (UAS),Aircraft 1_Type (UAS),Aircraft 1_Number of UAS Being Controlled (UAS),Component_Aircraft Component,Component_Manufacturer,Component_Aircraft Reference,Component_Problem,Aircraft 2_ATC / Advisory,Aircraft 2_Aircraft Operator,Aircraft 2_Make Model Name,Aircraft 2_Aircraft Zone,Aircraft 2_Crew Size,Aircraft 2_Operating Under FAR Part,Aircraft 2_Flight Plan,Aircraft 2_Mission,Aircraft 2_Nav In Use,Aircraft 2_Flight Phase,Aircraft 2_Route In Use,Aircraft 2_Airspace,Aircraft 2_Maintenance Status.Maintenance Deferred,Aircraft 2_Maintenance Status.Records Complete,Aircraft 2_Maintenance Status.Released For Service,Aircraft 2_Maintenance Status.Required / Correct Doc On Board,Aircraft 2_Maintenance Status.Maintenance Type,Aircraft 2_Maintenance Status.Maintenance Items Involved,Aircraft 2_Cabin Lighting,Aircraft 2_Number Of Seats.Number,Aircraft 2_Passengers On Board.Number,Aircraft 2_Crew Size Flight Attendant.Number Of Crew,Aircraft 2_Airspace Authorization Provider (UAS),Aircraft 2_Operating Under Waivers / Exemptions / Authorizations (UAS),Aircraft 2_Waivers / Exemptions / Authorizations (UAS),Aircraft 2_Airworthiness Certification (UAS),Aircraft 2_Weight Category (UAS),Aircraft 2_Configuration (UAS),Aircraft 2_Flight Operated As (UAS),Aircraft 2_Flight Operated with Visual Observer (UAS),Aircraft 2_Control Mode (UAS),Aircraft 2_Flying In / Near / Over (UAS),Aircraft 2_Passenger Capable (UAS),Aircraft 2_Type (UAS),Aircraft 2_Number of UAS Being Controlled (UAS),Person 1_Location Of Person,Person 1_Location In Aircraft,Person 1_Reporter Organization,Person 1_Function,Person 1_Qualification,Person 1_Experience,Person 1_Cabin Activity,Person 1_Human Factors,Person 1_Communication Breakdown,Person 1_UAS Communication Breakdown,Person 1_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2_Location In Aircraft,Person 2_Reporter Organization,Person 2_Function,Person 2_Qualification,Person 2_Experience,Person 2_Cabin Activity,Person 2_Human Factors,Person 2_Communication Breakdown,Person 2_UAS Communication Breakdown,Person 2_ASRS Report Number.Accession Number,Events_Anomaly,Events_Miss Distance,Events_Were Passengers Involved In Event,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Report 1_Narrative,Report 1_Callback,Report 2_Narrative,Report 2_Callback,Report 1_Synopsis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229924.0,201501.0,0601-1200,ZZZ.Airport,US,,,0.0,,,VMC,Crosswind; 40,,Daylight,10000,,CTAF ZZZ,Personal,Champion Citabria 7ECA,,1.0,Part 91,,Personal,,Landing,Visual Approach,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Main Gear,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 104.4; Flight Crew Type 42.7,,Human-Machine Interface,,,1229924.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Ground Strike - Aircraft; Ground Excursion Runway; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Aircraft; Human Factors,Aircraft,Landing in an Aeronca champ with a 5-6 knot cross wind. Touched wheels at 70 mph. Lifted off the grass to settle into a three point attitude. Dropped from about two feet. Less than in past landings. As soon as all three wheels touched down; it felt like the left brake was locked. The cross wind was from the left. I used full aileron and rudder deflection to the right. The plane was still veering to the left. I then used full right brake. Scary at that speed. Even with full right brake; the plane was still veering to the left. When the plane had turned 90 Degrees to the left; there was a boat in the current path; I released right pressure on the rudder. The tail came around quickly at that point. The wings were level until the plane stopped completely. With the plane completely stopped; pointing toward the field; I added a little power to taxi back on the runway. At this point; the left gear gave way in slow motion. The left wing tip slowly came to a rest on the ground. The Ground loop circle was about 75-100 FT diameter. It could have been pilot error but it doesn't sound like a normal ground loop. The left gear collapsed completely. In a normal ground loop; I think the outside gear would collapse; not the inside. The right wing never came close to the ground. I think the oleo gear attachment point broke; causing the large diameter slow acting ground loop.,,,,Aeronca Champ pilot experiences a brake and gear anomaly during landing resulting in a locked left brake and a ground loop to the left. After the aircraft is stopped an attempt to taxi on to the runway results in the left gear failing in slow motion.
1230694.0,201501.0,1201-1800,ZZZ.Airport,US,,,,,,VMC,,,,,,Tower ZZZ,,BAe 125 Series 800,,2.0,,IFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface,,,1230694.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Inflight Event / Encounter Bird / Animal,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; Flight Crew Inflight Shutdown; General Declared Emergency,Aircraft; Environment - Non Weather Related,Environment - Non Weather Related,After takeoff with positive rate of climb; the gear was selected up. The gear handle stopped only halfway. I left the gear selected in the down position and figured that we would gain altitude and check it out. I looked out the front and saw a flock of geese. I said it out loud to make sure the pilot flying had seen them; however there was nowhere to go. We then heard and felt geese hit the plane. The left engine indications became erratic and we decided to return for landing. I informed the tower of what had happened and our intentions. We were cleared to enter downwind and land. I then heard someone say that our left engine was smoking. We had gained enough altitude to make the decision to shut the left engine off; especially with the indications we were getting and the fact that it was reported smoking. We landed cautiously with the knowledge that the gear was down during the bird strike and could potentially be damaged. The landing was normal and we taxied to parking.,,,,Distracted by a landing gear that failed to retract; the flight crew of a BAE-125-850XP noted a gaggle of geese too close ahead to avoid; and felt one or more strike the aircraft. The impact was followed by erratic indications and a report of smoke from the left engine heard over the radio. They performed an inflight shut down; and returned to their departure airport for an uneventful landing.
1230739.0,201501.0,0601-1200,ZZZ.Airport,US,,,0.0,,,,,,Daylight,,,Ramp ZZZ,FBO,Skyhawk 172/Cutlass 172,,2.0,Part 91,,Training,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Flight Instructor,,,Situational Awareness,,,1230739.0,,,,,,,,,,,,Conflict Ground Conflict; Critical; Ground Event / Encounter Aircraft,,,Person Flight Crew,Taxi,Aircraft Aircraft Damaged,Human Factors,Human Factors,While returning from the practice area with my student; we began taxiing into the ramp and noticed the fuel truck was fueling another company Cessna 172. Unable to continue to parking due to the fuel truck being on duty; we began taxiing behind the first Cessna 172 parking line. We were already aware there were not any parking spots left on the first Cessna ramp; but continued towards the end of the line; pulled in; shutoff the engine and set the parking brake. I was dropping off my student who was getting prepared for his solo. As I begin to exit the aircraft and grab my belongings; another company Cessna 172 was attempting to pass behind us when it accidently struck us on the rudder portion with its right wing. Upon impact both flight instructors disembarked the aircraft and notified the appropriate personnel of the incident. In order to prevent such incidents in the future flight crews should just wait. If 'can I make it through there' comes to your mind; it's probably is a bad idea. Waiting and not taking unnecessary risks is the best option.,,,,C172 instructor reports shutting down short of his parking place due to a fuel truck in the way. Another company C172 attempting to taxi past strikes the rudder with a wingtip.
1230761.0,201501.0,1801-2400,ZZZ.Airport,US,,,,,,,Snow,Temperature - Extreme,Night,,,,Fractional,Citation V/Ultra/Encore (C560),,,Part 135,,,,Parked,,,Y,,N,,Scheduled Maintenance,Inspection; Work Cards; Repair,,,,,,,,,,,,,,,,,,Aileron,Cessna,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Fractional,Technician,Maintenance Powerplant; Maintenance Airframe,,,Confusion; Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,1230761.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Maintenance,Routine Inspection,Aircraft Aircraft Damaged; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors; Incorrect / Not Installed / Unavailable Part; Procedure; Manuals,Human Factors,January 2015. While performing the preliminary inspection on a Cessna CE560EP aircraft; I found the inboard end of the L/H aileron contacting the wing rib directly inboard of the aileron. The rivets and screws retaining the balance weight cover were gouging into the rib. I notified Maintenance Control. I recorded the damage and contact between the aileron and structure. The aircraft was outside in -8 degree temperatures and snow. The initial response for Maintenance Control was to grind the aileron to get clearance; because it was the busy season and our operator really needed the aircraft. That was not even an option in my opinion. Maintenance Control had a Contract Engineering company draft an Engineering Order (E/O) in which we were to grind down the rivet contacting the rib; and grant the aircraft 300 hours flight time before the repair was made. I forwarded the information to our company Safety Representative Mr. X. I also discussed this E/O with a senior inspector and we both agreed that this was not a safe option. The later E/O was to grind the rivet down; and fly the aircraft under Ferry permit to get repaired properly. Two days later we performed the repair per the E/O to ensure the rivet could not impede the movement of the aileron and performed a Ferry Flight inspection. Three days after that; I was notified by Safety Representative Mr. X that the aircraft had flown to our Base Station for repairs and the aileron was found to be the wrong part number installed three years prior. The CE-560 Illustrated Parts Catalog (IPC) has had many changes over time with the 560 series aircraft. I don't understand how the paperwork was missed during initial install of the aileron. Are the pre-flight checklist procedures incomplete? How was this missed? Excessive cold. Aircraft damage. Flight cancelled.,,,,A Line Aircraft Maintenance Technician (AMT) reports finding the inboard end of a left aileron contacting a wing rib directly inboard of the aileron on a Cessna CE-560EP aircraft. Rivets and screws retaining the balance weight cover were gouging into the rib. Aileron had been installed three years earlier; but was found to be incorrect for the aircraft.
1231974.0,201501.0,1201-1800,ZZZ.Airport,US,,,,,,VMC,10,,Daylight,,,Tower ZZZZ,Air Taxi,PA-23-250 Aztec,,1.0,Part 135,,Passenger,,Parked,Direct,,N,,N,,Unscheduled Maintenance,Inspection; Repair; Work Cards,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,Piper,X,Design; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Captain; Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 82; Flight Crew Total 2608; Flight Crew Type 571,,Confusion,,,1231974.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Ground Strike - Aircraft,,Y,Person Flight Crew,Pre-flight,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,Was to depart VFR on a PA23-250 AZTEC late afternoon. Boarded with two passengers and one crew (myself). Completed the safety briefings and then the pre-start checks. Upon cranking the right engine for start the left main gear collapse. When mechanics arrived and lifted the left wing up and placed it on a jack; the right gear then collapsed. After raising the right wing the nose gear started to retract; but was saved in time by tying the tail down. It is suspected that the anti-retraction valve or some valve inside the main hydraulic housing may be at fault.,Reporter stated all three landing gears showed down and locked with three 'Green' lights prior to his attempt to start the Right Engine. The twin engine PA23 AZTEC he was preparing to fly has only one Engine Driven Hydraulic Pump (EDP) compared to the 'F' Model AZTECs with two EDPs. Flaps and Landing gear are all hydraulically driven with the landing gears having hydraulic priority over the flaps. That decision is controlled by a priority valve inside a hydraulic module under the floor. The Anti-Retraction switch on the Left Main gear that he referenced in his report is similar to a Squat switch. Reporter stated their Engine Start procedures include placing the Flap handle in the 'Up' position before cranking the Right Engine with the only hydraulic EDP. That procedure would ensure the flaps were up and when hydraulic pressure reached approximately 600 psi; the flap handle would then pop back to the neutral position. With the Left Main Gear compressed; the Squat switch signal to the Hydraulic module should also keep the Anti-Retraction valve closed. After the Left Main collapsed and mechanics lifted the wing; they started pulling the Left gear aft; that's when the Right Gear collapsed. Both Main gears retract forward; not inboard or outboard. The Nose Gear retracts aft. If the single Engine Driven hydraulic pump fails; an Emergency Hand pump can be used to pump up hydraulic pressure. If that fails; a CO2 bottle will blow the gears down. Plans were to replace the Hydraulic module and ferry the aircraft to their Maintenance Base. Since his incident; another pilot told him about a similar event that had just occurred on that pilot's PA23 aircraft.,,,Pilot reports that upon cranking the Right Engine for start on a Piper PA23 Aztec; the Left Main Gear collapsed; followed by the Right Main Gear collapsing when mechanics had lifted the left wing. After mechanics raised the right wing; the Nose Gear started to collapse.
1232434.0,201501.0,1201-1800,ZZZ.TRACON,US,,,,2600.0,,VMC,,,Daylight,,,TRACON ZZZ,Personal,Skyhawk 172/Cutlass 172,,2.0,Part 91,VFR,Training,,Cruise,Direct; Visual Approach,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 0; Flight Crew Total 440.8; Flight Crew Type 278.6,,,,,1232434.0,Aircraft X,Flight Deck,Personal,Instructor,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 75; Flight Crew Total 13500; Flight Crew Type 2000,,Workload,,,1232442.0,Aircraft Equipment Problem Critical; Inflight Event / Encounter Object,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,We were about 1.4 hours into an instrument Proficiency check ride with my Instructor. We had performed three approaches at two different airports and we're returning to our home airport to perform the RNAV XY approach. We had been cleared VFR direct to ZZZZZ Intersection; at or below 2700 by Approach. We were in level flight at about 2;600 MSL; 7-8 NM Southwest of Airport; when suddenly; without warning; the plane started vibrating violently. [The instructor] immediately grabbed the controls and I released them stating 'you have the plane'. [He] being the much more experienced pilot we both believed; without discussion; this was appropriate. [He] executed a 180 degree turn to the left intending to return to ZZZ. He immediately notified ATC and Squawked 7700 on the transponder. By this time copious amounts of smoke and oil were spewing from engine cowling and we became concerned about a fire. [He] quickly decided that we were unlikely to be able to make it back to ZZZ with a 10-20 KT head wind; and with a potential fire; getting on the ground quickly seemed our best choice. He stated his intentions and I fully agreed. We both started looking for a suitable landing site; which we quickly identified; and [he] executed a rapid descent. As we approached the selected field we noticed high power lines on the final approach path and [he] maneuvered to descend below them; which we did. As we passed below the wires there was an audible 'Bang' but the flight path of the plane was unaltered. We continued on final approach and [he] executed a perfect soft field landing in a tilled; frozen; cornfield. There were no injuries. We both unbuckled our seatbelts and exited the plane quickly and walked away. There was no fire and the plane remained upright on its landing gear. Upon Landing we contacted 911; and the FAA. We visually inspected the plane after landing and noticed damage to the plastic wing tip fairing of the right wing. There was no observable damage to any other surface of the plane including the Tail. Later that day we participated in an inspection of the plane and the landing site with an FAA Aviation Safety Inspector; and his team. They determined that it was best to wait until the plane was recovered to a hangar to remove the cowling and inspect the engine compartment. So we have no in sight as to the cause of the engine failure at this time. We returned to Airport ZZZ FBO and were interviewed by the inspection team. We were not informed that there were any violations or discrepancies at the time of this interview.,,Serving as a flight instructor performing an instrument training flight combined with an IPC (Instrument Proficiency Check). I immediately turned to ZZZ the nearest airport but realized instantly that I did not have enough altitude to make the airport. I then flew to the southeast to the only area that had suitable landing sites. By now smoke was pouring out from under the engine cowling and a film of oil had coated my side of the windscreen. On final we both noticed high tension power lines at our altitude in front of us. I did not believe I could clear the wires over the top as the engine was not making power. This left only one option which was to go under the high tension wires. I wanted to get on the ground as soon as possible as I was concerned of an engine fire. Landing was uneventful save for some minor damage to the right wingtip for reason I cannot explain. I had informed TRACON. I think there was some confusion so I read back my tail number and told ATC that I would squawk 7700 which I did. The ELT went off during rollout. There were no injuries to client and myself.,,A pilot and instructor in a C172 experienced an engine failure that resulted in an off field landing.
1232440.0,201501.0,1801-2400,ZZZ.Airport,US,,,,2000.0,,VMC,Icing,,Night,2800,,Tower ZZZ,Fractional,King Air C90 E90,,1.0,Part 91,IFR,Passenger,,Initial Approach,Visual Approach; Direct,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 86; Flight Crew Total 2300; Flight Crew Type 73,,Training / Qualification; Workload; Troubleshooting; Human-Machine Interface,,,1232440.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Gear Up Landing,,Y,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Diverted,Aircraft; Human Factors,Aircraft,The ceiling was 2800 feet; when we got below it we saw the airport and cancelled IFR; to do the visual approach to runway 18. We had a small amount of clear ice from the descent. I entered the downwind; and when I did the before landing checklist; I put the gear handle down; and the handle illuminated red; we also had no green lights. I stayed at pattern altitude; and began circling the airport to troubleshoot the gear issue. To make sure the indication of the red handle was correct; I did several things. I pulled the power levers back to a point at which the gear horn should sound; I put the flaps past approach; and I turned on the landing lights (which will give you an annunciator). All of which told me the gear was not down.I had seven passengers on board; all of which are Part 135 pilots. The passenger in the co-pilots seat was a Lear first officer. I decided to use him as a cockpit resource; and used CRM. I called for the Emergency Gear Extension Checklist; he pulled out the checklist; and we performed it. With him reading it; and I did the actions. We accomplished the checklist and still had the red handle light. So; I gave him the controls; and we continued to circle the airport. While he was flying; I read the checklist; and ensured proper completion of the items. We continued circling; and troubleshooting the issue.Since the checklist had not worked; I decided to clean up the airplane; and execute the Emergency Gear Extension Checklist again; to double check we had done it properly. At this time I took the controls back; and decided to divert to [a nearby towered airport that had] fire and rescue. En route we accomplished the checklist again; and still had the red light in the handle. When I would try to use the manual gear pump; there was no resistance. The other pilot tried pumping it; and had no resistance. At this time one of the passengers from the back came up front to try to assist; he is a Part 135 Citation Captain; he read the placard near the manual gear handle; and tried pumping it also. He had no resistance on the pump.I did two low passes over runway 17L; so the tower could look at the gear for us; they told us the gear was up. We were low on fuel at this point; and I did not want to risk a flameout. After the second pass; tower cleared me for a visual approach to land on 17R. I briefed the approach to my passenger in the co-pilots seat. I told him we were going to do a gear up landing; and that I would be feathering the props when we have ensured we are going to make the runway; and that when he sees that both props are feathering to pull both of the condition levers to cut off. So that the engines would not be running when we landed. At approximately 100 AGL; we had the runway made; I feathered the props; and he pulled the condition levers. We touched down centerline on runway 17R; we slid; and stayed centerline until we had almost stopped. Then the plane slid a little left of centerline; but stayed in the center of the runway. We evacuated the airplane as soon as we stopped. This happened last night; today maintenance explained to me that I had not properly turned the manual gear release handle. I read the checklist; and the placard next to the handle; which gives directions to release handle. I thought I had done it properly.Contributing Factors-Night-It was a long day; I had been up for almost 15 hours when this occurred-Minimum Fuel-I have not been to training where I physically did a manual gear extension in a king air in over 2 1/2 years. -I have gone to initial training for 3 other aircraft since I did the training for King Airs.,,,,When the landing gear all failed to extend the pilot of a King Air went around to evaluate his situation; utilizing assistance from several deadheading pilots. When they were unable to extend the gear successfully by normal or emergency means they made a safe landing; minimizing damage to the greatest extent possible.
1234702.0,201501.0,1201-1800,ZZZZ.Airport,FO,,,0.0,,,,,,Daylight,,,Ramp ZZZZ,Air Carrier,MD-11,,3.0,Part 121,IFR,Cargo / Freight / Delivery,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Leading Edge Slat,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Confusion,,,1234702.0,Aircraft X,Flight Deck,Air Carrier,First Officer,,,,Confusion,,,1235084.0,Aircraft Equipment Problem Less Severe,,,Person Maintenance,Aircraft In Service At Gate,Aircraft Aircraft Damaged; General Maintenance Action,Aircraft,Aircraft,After shutdown checklist and all debriefs complete; and getting ready to disembark aircraft; RFO mentioned that the aircraft had some damage. I was flabbergasted because I was unaware of any errors or actions we would have done to cause any damage!  As soon as I stepped over to the door and the top of the stairs; it was obvious that part of the right inboard slat had been damaged. It appeared that the outer edge (which is a shiny metallic verses dull aluminum) had been torn back and was missing rivets. Maintenance notified us of the damage after we blocked in; and we have no idea how it occurred. Obviously there was a problem when the slats were retracted; something caught and caused the metal to be bent up and away from the wing; tearing the rivets out. As a crew; we were unaware of any damage during the flight until after we had blocked in. I asked maintenance if they wanted me to write it up; but they said they would do it since it was damage noted on the post flight inspection. Upon arriving at the hotel I called the Dispatch to inform them about aircraft damage per FOM. I verified they did write it up by checking the aircraft maintenance history.I was unaware of any damage to the aircraft until we blocked in. It could have occurred on slats retract on departure or possibly on the after landing checklist. There were no alerts in the aircraft; nor did there seem to be any adverse performance affects over the 9+ hour flight.,,Upon further inspection; it appears the moveable slat edge cover had bound up on the fixed slat cover and partially tore the fixed slat cover plate off the wing during the retraction process. No flight issues were noted that would have caused this damage. This damage was not done prior to departure. No odd flight characteristics were recognized by the flight crew.,,After gate arrival; Maintenance notified the crew that the left wing inboard slat movable edge cover bound on the fixed slat cover and partially tore the fixed slat cover plate off.
1235135.0,201501.0,1201-1800,ZZZ.Airport,US,,1.0,500.0,,,VMC,,,Daylight,,,,,M-20 K (231) / Encore,,1.0,,,Test Flight / Demonstration,,Initial Climb,,Class E ZZZ,N,,,,Scheduled Maintenance,Repair; Installation,,,,,,,,,,,,,,,,,,Engine Exhaust System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Other Remote Sensing,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 40; Flight Crew Total 2000; Flight Crew Type 615,,Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,1235135.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Departure Airport; General Maintenance Action; General Flight Cancelled / Delayed,Procedure; Human Factors,Human Factors,The exhaust system on our Mooney M20K-305 had been repaired and this was the first flight post maintenance. Shortly after takeoff; climbing through approx. 500 feet AGL; the engine monitor alarm indicated a high and rapidly rising Cylinder Head Temperature (CHT). Suspecting detonation/pre-ignition; power was reduced to minimum needed for level flight and a left turn to enter a downwind for runway 27 was started. At this point I noticed a hot/burning smell. A tight pattern was flown and the aircraft promptly landed. Exiting the aircraft; smoke was seen rising from the engine cowling near the air inlet. This was extinguished with a fire extinguisher and the cowling removed. The inside of the cowling was visibly damaged due to melting/extreme heating from what appeared to be the exhaust manifold. Post inspection revealed that the exhaust system had been improperly assembled. The exhaust manifold from the cylinders was not fully fitted into the slip joint of the exhaust Y-tube transition pipe. It was approximately one inch out of place. This reduced the clearance between the exhaust and cowling causing the melting and smoking. Additionally; because the manifold was out of place; there was a small gap between the cylinder head and the exhaust manifold flanges. Exhaust leaks from this area potentially caused the high CHT indication. In the future; a much more in-depth post maintenance inspection is necessary to prevent a recurrence.,Reporter stated the exhaust manifold was previously sent out for repair after a small hole was noticed in the manifold during an Annual Inspection. When mechanics reinstalled the exhaust manifold they were apparently hoping the attaching nuts would help pull-in and seat the manifold against the engine. But that did not happen. Instead; the small gap that still existed between the exhaust manifold and the engine allowed hot gases to blow near the Cylinder Head Temperature (CHT) sensor causing a high temp indication. The smoke and heat damage to the engine cowling was caused by the same exhaust manifold not being properly fitted into the slip joint of the exhaust Y-tube transition pipe.,,,A single pilot reports that on the first flight after Maintenance repaired the Exhaust System on their Mooney M20K-305 aircraft; they noticed a hot/burning smell and the engine monitor alarm indicated a high and rapidly rising Cylinder Head Temperature (CHT). Exhaust manifold from cylinders was not fully fitted into the slip joint of the exhaust Y-tube transition pipe causing smoke; extreme heating and melting of an engine cowling.
