Error_flag,Violation_flag,Err_anom_count,Viol_anom_count,Err_weight_sum,Viol_weight_sum,y3
0,0,0,0,0,0,0
1,0,1,0,5,0,1
0,0,0,0,0,0,0
0,0,1,0,5,0,0
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,4,3,1
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,1,0,1,0,3,2
1,0,2,0,10,0,1
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,1,0,2,0,7,2
0,1,0,1,0,3,2
1,0,1,0,5,0,1
1,0,2,0,9,0,1
0,0,1,0,5,0,0
0,0,0,0,0,0,0
1,0,2,0,9,0,1
0,1,0,1,0,3,2
1,0,1,0,5,0,1
1,0,1,0,4,0,1
0,1,0,1,0,3,2
1,1,1,1,5,3,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,1,0,5,0,1
1,0,1,0,5,0,1
1,0,1,0,5,0,1
1,0,1,0,5,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,5,3,1
1,0,1,0,5,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,5,3,1
1,0,1,0,5,0,1
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,0,1,0,5,0,1
0,0,0,0,0,0,0
1,1,1,1,5,3,1
1,0,1,0,5,0,1
1,1,1,1,4,3,1
0,0,1,0,5,0,0
0,0,0,0,0,0,0
1,1,1,1,5,3,1
0,0,0,0,0,0,0
1,0,1,0,2,0,1
0,1,0,1,0,3,2
1,1,1,1,5,3,1
0,1,1,1,5,3,2
1,1,2,1,9,3,1
0,0,0,0,0,0,0
1,0,1,0,5,0,1
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,1,0,2,0,8,2
1,0,1,0,5,0,1
1,0,1,0,4,0,1
0,1,0,1,0,3,2
0,1,0,3,0,10,2
1,0,2,0,9,0,1
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,1,0,2,0,8,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,1,1,2,5,8,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,2,0,10,0,1
1,0,1,0,5,0,1
1,0,2,0,9,0,1
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,0,1,0,4,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,1,1,1,4,3,1
1,0,1,0,5,0,1
0,0,0,0,0,0,0
1,0,2,0,9,0,1
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,1,0,1,0,3,2
1,0,1,0,5,0,1
0,0,0,0,0,0,0
0,1,0,2,0,7,2
1,0,1,0,5,0,1
0,1,0,1,0,3,2
0,1,0,2,0,8,2
1,1,1,1,5,3,1
1,1,1,1,4,3,1
1,0,1,0,4,0,1
1,1,1,2,2,7,2
1,1,1,1,5,3,1
0,0,0,0,0,0,0
1,0,1,0,5,0,1
0,1,0,1,0,2,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,1,1,1,5,3,1
1,0,1,0,4,0,1
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,1,1,1,5,3,1
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,1,0,1,0,3,2
1,0,1,0,5,0,1
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,1,0,5,0,1
0,1,0,1,0,3,2
0,1,0,1,0,3,2
0,0,0,0,0,0,0
0,1,0,1,0,3,2
1,0,1,0,5,0,1
1,0,1,0,5,0,1
0,0,0,0,0,0,0
1,0,1,0,5,0,1
0,1,0,1,0,3,2
1,1,1,1,4,3,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,5,3,1
1,1,1,1,5,3,1
1,0,1,0,5,0,1
0,1,0,1,0,3,2
1,0,1,0,4,0,1
0,0,0,0,0,0,0
1,1,1,1,4,3,1
1,1,1,1,4,3,1
1,0,1,0,5,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
