Target,Model,Accuracy,Precision,Recall,F1
Error,Fold 1,0.6594827586206896,0.6417910447761194,0.6,0.6201923076923077
Error,Fold 2,0.6436285097192225,0.6139534883720931,0.616822429906542,0.6153846153846154
Error,Fold 3,0.6479481641468683,0.6231884057971014,0.602803738317757,0.6128266033254157
Error,Fold 4,0.6846652267818575,0.6787564766839378,0.6093023255813953,0.642156862745098
Error,Fold 5,0.6565874730021598,0.6296296296296297,0.6325581395348837,0.6310904872389791
Error,Mean,0.6585,0.6375,0.6123,0.6243
Violation,Fold 1,0.709051724137931,0.780373831775701,0.6549019607843137,0.7121535181236673
Violation,Fold 2,0.6868250539956804,0.7632850241545893,0.6220472440944882,0.685466377440347
Violation,Fold 3,0.7105831533477321,0.7884615384615384,0.6456692913385826,0.7099567099567099
Violation,Fold 4,0.6565874730021598,0.7021276595744681,0.6496062992125984,0.6748466257668712
Violation,Fold 5,0.6997840172786177,0.75,0.6823529411764706,0.7145790554414784
Violation,Mean,0.6926,0.7568,0.6509,0.6994
