index,Error_flag,Violation_flag,Err_anom_count,Viol_anom_count,Err_weight_sum,Viol_weight_sum,y3
0,0,0,0,0,0.0,0.0,0
1,1,0,1,0,0.06896551724137931,0.0,1
2,0,0,0,0,0.0,0.0,0
3,0,0,0,0,0.0,0.0,0
4,0,1,0,1,0.0,0.05,2
5,0,0,0,0,0.0,0.0,0
6,0,0,0,0,0.0,0.0,0
7,1,1,1,1,0.06896551724137931,0.05,1
8,0,0,0,0,0.0,0.0,0
9,0,1,0,1,0.0,0.05,2
10,0,1,0,1,0.0,0.05,2
11,1,0,2,0,0.13793103448275862,0.0,1
12,0,1,0,1,0.0,0.05,2
13,0,0,0,0,0.0,0.0,0
14,0,1,0,2,0.0,0.15000000000000002,2
15,0,1,0,1,0.0,0.05,2
16,1,0,1,0,0.06896551724137931,0.0,1
17,1,0,2,0,0.13793103448275862,0.0,1
18,0,0,0,0,0.0,0.0,0
19,0,0,0,0,0.0,0.0,0
20,1,0,2,0,0.13793103448275862,0.0,1
21,0,1,0,1,0.0,0.05,2
22,1,0,1,0,0.06896551724137931,0.0,1
23,1,0,1,0,0.06896551724137931,0.0,1
24,0,1,0,1,0.0,0.05,2
25,1,1,1,1,0.06896551724137931,0.05,1
26,0,0,0,0,0.0,0.0,0
27,0,0,0,0,0.0,0.0,0
28,1,0,1,0,0.06896551724137931,0.0,1
29,1,0,1,0,0.06896551724137931,0.0,1
30,1,0,1,0,0.06896551724137931,0.0,1
31,1,0,1,0,0.06896551724137931,0.0,1
32,0,0,0,0,0.0,0.0,0
33,0,0,0,0,0.0,0.0,0
34,1,1,1,1,0.06896551724137931,0.05,1
35,1,0,1,0,0.06896551724137931,0.0,1
36,0,0,0,0,0.0,0.0,0
37,0,0,0,0,0.0,0.0,0
38,1,1,1,1,0.06896551724137931,0.05,1
39,1,0,1,0,0.06896551724137931,0.0,1
40,0,0,0,0,0.0,0.0,0
41,0,1,0,1,0.0,0.05,2
42,0,1,0,1,0.0,0.05,2
43,0,0,0,0,0.0,0.0,0
44,0,1,0,1,0.0,0.05,2
45,0,0,0,0,0.0,0.0,0
46,0,1,0,1,0.0,0.05,2
47,1,0,1,0,0.06896551724137931,0.0,1
48,0,0,0,0,0.0,0.0,0
49,1,1,1,1,0.06896551724137931,0.05,1
50,1,0,1,0,0.06896551724137931,0.0,1
51,1,1,1,1,0.06896551724137931,0.05,1
52,0,0,0,0,0.0,0.0,0
53,0,0,0,0,0.0,0.0,0
54,1,1,1,1,0.06896551724137931,0.05,1
55,0,0,0,0,0.0,0.0,0
56,1,0,1,0,0.034482758620689655,0.0,1
57,0,1,0,1,0.0,0.05,2
58,1,1,1,1,0.06896551724137931,0.05,1
59,0,1,0,1,0.0,0.05,2
60,1,1,2,1,0.13793103448275862,0.05,1
61,0,0,0,0,0.0,0.0,0
62,1,0,1,0,0.06896551724137931,0.0,1
63,0,1,0,1,0.0,0.05,2
64,0,1,0,1,0.0,0.05,2
65,0,1,0,2,0.0,0.15000000000000002,2
66,1,0,1,0,0.06896551724137931,0.0,1
67,1,0,1,0,0.06896551724137931,0.0,1
68,0,1,0,1,0.0,0.05,2
69,0,1,0,3,0.0,0.2,2
70,1,0,1,0,0.06896551724137931,0.0,1
71,0,0,0,0,0.0,0.0,0
72,0,1,0,1,0.0,0.05,2
73,0,1,0,2,0.0,0.15000000000000002,2
74,0,0,0,0,0.0,0.0,0
75,0,1,0,1,0.0,0.05,2
76,1,1,1,2,0.06896551724137931,0.15000000000000002,2
77,0,0,0,0,0.0,0.0,0
78,0,1,0,1,0.0,0.05,2
79,0,0,0,0,0.0,0.0,0
80,0,0,0,0,0.0,0.0,0
81,0,0,0,0,0.0,0.0,0
82,1,0,2,0,0.13793103448275862,0.0,1
83,1,0,1,0,0.06896551724137931,0.0,1
84,1,0,2,0,0.13793103448275862,0.0,1
85,0,1,0,1,0.0,0.05,2
86,0,1,0,1,0.0,0.05,2
87,0,1,0,1,0.0,0.05,2
88,0,1,0,1,0.0,0.05,2
89,0,1,0,1,0.0,0.05,2
90,0,0,0,0,0.0,0.0,0
91,0,1,0,1,0.0,0.05,2
92,1,0,1,0,0.06896551724137931,0.0,1
93,0,0,0,0,0.0,0.0,0
94,0,0,0,0,0.0,0.0,0
95,0,0,0,0,0.0,0.0,0
96,0,0,0,0,0.0,0.0,0
97,0,1,0,1,0.0,0.05,2
98,1,1,1,1,0.06896551724137931,0.05,1
99,1,0,1,0,0.06896551724137931,0.0,1
100,0,0,0,0,0.0,0.0,0
101,1,0,2,0,0.13793103448275862,0.0,1
102,0,0,0,0,0.0,0.0,0
103,0,1,0,1,0.0,0.05,2
104,0,1,0,1,0.0,0.05,2
105,1,0,1,0,0.06896551724137931,0.0,1
106,0,0,0,0,0.0,0.0,0
107,0,1,0,2,0.0,0.15000000000000002,2
108,1,0,1,0,0.06896551724137931,0.0,1
109,0,1,0,1,0.0,0.05,2
110,0,1,0,2,0.0,0.15000000000000002,2
111,1,1,1,1,0.06896551724137931,0.05,1
112,1,1,1,1,0.06896551724137931,0.05,1
113,1,0,1,0,0.06896551724137931,0.0,1
114,1,1,1,2,0.034482758620689655,0.15000000000000002,2
115,1,1,1,1,0.06896551724137931,0.05,1
116,0,0,0,0,0.0,0.0,0
117,1,0,1,0,0.06896551724137931,0.0,1
118,0,1,0,1,0.0,0.05,2
119,0,0,0,0,0.0,0.0,0
120,0,0,0,0,0.0,0.0,0
121,0,1,0,1,0.0,0.05,2
122,1,1,1,1,0.06896551724137931,0.05,1
123,1,0,1,0,0.06896551724137931,0.0,1
124,0,0,0,0,0.0,0.0,0
125,0,1,0,1,0.0,0.05,2
126,1,1,1,1,0.06896551724137931,0.05,1
127,0,1,0,1,0.0,0.05,2
128,0,1,0,1,0.0,0.05,2
129,0,0,0,0,0.0,0.0,0
130,0,1,0,1,0.0,0.05,2
131,0,1,0,1,0.0,0.05,2
132,0,1,0,1,0.0,0.05,2
133,1,0,1,0,0.06896551724137931,0.0,1
134,0,1,0,1,0.0,0.05,2
135,0,1,0,1,0.0,0.05,2
136,0,0,0,0,0.0,0.0,0
137,0,0,0,0,0.0,0.0,0
138,1,0,1,0,0.06896551724137931,0.0,1
139,0,1,0,1,0.0,0.05,2
140,0,1,0,1,0.0,0.05,2
141,0,0,0,0,0.0,0.0,0
142,0,1,0,1,0.0,0.05,2
143,1,0,1,0,0.06896551724137931,0.0,1
144,1,0,1,0,0.06896551724137931,0.0,1
145,0,0,0,0,0.0,0.0,0
146,1,0,1,0,0.06896551724137931,0.0,1
147,0,1,0,1,0.0,0.05,2
148,1,1,1,1,0.06896551724137931,0.05,1
149,0,0,0,0,0.0,0.0,0
150,0,0,0,0,0.0,0.0,0
151,0,0,0,0,0.0,0.0,0
152,0,0,0,0,0.0,0.0,0
153,1,1,1,1,0.06896551724137931,0.05,1
154,1,1,1,1,0.06896551724137931,0.05,1
155,1,0,1,0,0.06896551724137931,0.0,1
156,0,1,0,1,0.0,0.05,2
157,1,0,1,0,0.06896551724137931,0.0,1
158,0,0,0,0,0.0,0.0,0
159,1,1,1,1,0.06896551724137931,0.05,1
160,1,1,1,1,0.06896551724137931,0.05,1
161,1,0,1,0,0.06896551724137931,0.0,1
162,0,0,0,0,0.0,0.0,0
163,0,0,0,0,0.0,0.0,0
164,0,1,0,1,0.0,0.05,2
165,0,1,0,2,0.0,0.15000000000000002,2
166,1,1,2,1,0.13793103448275862,0.05,1
167,0,1,0,1,0.0,0.05,2
168,0,0,0,0,0.0,0.0,0
169,0,0,0,0,0.0,0.0,0
170,1,1,1,1,0.06896551724137931,0.05,1
171,0,1,0,1,0.0,0.05,2
172,0,1,0,1,0.0,0.05,2
173,1,1,1,1,0.034482758620689655,0.05,2
174,0,0,0,0,0.0,0.0,0
175,0,1,0,1,0.0,0.05,2
176,1,0,1,0,0.06896551724137931,0.0,1
177,0,1,0,1,0.0,0.05,2
178,0,0,0,0,0.0,0.0,0
179,1,0,1,0,0.06896551724137931,0.0,1
180,0,1,0,2,0.0,0.2,2
181,0,1,0,1,0.0,0.05,2
182,0,0,0,0,0.0,0.0,0
183,0,0,0,0,0.0,0.0,0
184,1,1,1,1,0.06896551724137931,0.05,1
185,1,1,1,1,0.06896551724137931,0.05,1
186,0,1,0,1,0.0,0.05,2
187,1,0,1,0,0.06896551724137931,0.0,1
188,1,1,1,1,0.06896551724137931,0.05,1
189,1,0,1,0,0.06896551724137931,0.0,1
190,1,1,1,1,0.06896551724137931,0.05,1
191,1,0,1,0,0.06896551724137931,0.0,1
192,0,1,0,2,0.0,0.15000000000000002,2
193,0,0,0,0,0.0,0.0,0
194,0,1,0,2,0.0,0.15000000000000002,2
195,0,1,0,1,0.0,0.05,2
196,0,1,0,1,0.0,0.05,2
197,1,0,1,0,0.06896551724137931,0.0,1
198,0,0,0,0,0.0,0.0,0
199,0,1,0,2,0.0,0.15000000000000002,2
200,0,1,0,1,0.0,0.05,2
201,1,0,1,0,0.06896551724137931,0.0,1
202,0,0,0,0,0.0,0.0,0
203,1,1,1,1,0.034482758620689655,0.05,2
204,1,1,1,1,0.034482758620689655,0.1,2
205,0,0,0,0,0.0,0.0,0
206,0,1,0,1,0.0,0.05,2
207,0,0,0,0,0.0,0.0,0
208,0,0,0,0,0.0,0.0,0
209,0,1,0,1,0.0,0.05,2
210,1,1,1,1,0.06896551724137931,0.05,1
211,0,0,0,0,0.0,0.0,0
212,0,0,0,0,0.0,0.0,0
213,1,0,1,0,0.06896551724137931,0.0,1
214,0,0,0,0,0.0,0.0,0
215,0,0,0,0,0.0,0.0,0
216,0,1,0,1,0.0,0.05,2
217,0,1,0,1,0.0,0.05,2
218,0,1,0,1,0.0,0.1,2
219,0,1,0,1,0.0,0.05,2
220,1,0,1,0,0.06896551724137931,0.0,1
221,1,0,1,0,0.06896551724137931,0.0,1
222,0,1,0,1,0.0,0.05,2
223,0,1,0,1,0.0,0.05,2
224,1,1,1,1,0.06896551724137931,0.05,1
225,1,0,1,0,0.06896551724137931,0.0,1
226,0,1,0,1,0.0,0.05,2
227,0,1,0,1,0.0,0.05,2
228,0,1,0,1,0.0,0.05,2
229,0,0,0,0,0.0,0.0,0
230,0,1,0,1,0.0,0.05,2
231,1,0,2,0,0.13793103448275862,0.0,1
232,1,0,1,0,0.06896551724137931,0.0,1
233,1,0,1,0,0.06896551724137931,0.0,1
234,0,1,0,2,0.0,0.15000000000000002,2
235,0,1,0,1,0.0,0.05,2
236,0,0,0,0,0.0,0.0,0
237,1,0,1,0,0.06896551724137931,0.0,1
238,0,0,0,0,0.0,0.0,0
239,0,1,0,1,0.0,0.05,2
240,0,0,0,0,0.0,0.0,0
241,0,0,0,0,0.0,0.0,0
242,0,1,0,1,0.0,0.05,2
243,1,1,1,1,0.06896551724137931,0.05,1
244,1,0,1,0,0.06896551724137931,0.0,1
245,0,0,0,0,0.0,0.0,0
246,0,1,0,2,0.0,0.15000000000000002,2
247,0,1,0,1,0.0,0.05,2
248,1,0,1,0,0.06896551724137931,0.0,1
249,0,0,0,0,0.0,0.0,0
250,0,0,0,0,0.0,0.0,0
251,0,1,0,1,0.0,0.05,2
252,1,1,1,1,0.06896551724137931,0.05,1
253,0,0,0,0,0.0,0.0,0
254,1,1,1,1,0.06896551724137931,0.05,1
255,1,0,2,0,0.13793103448275862,0.0,1
256,0,0,0,0,0.0,0.0,0
257,1,1,1,1,0.06896551724137931,0.05,1
258,0,0,0,0,0.0,0.0,0
259,0,1,0,1,0.0,0.05,2
260,1,0,1,0,0.06896551724137931,0.0,1
261,1,1,1,1,0.06896551724137931,0.1,2
262,1,1,1,1,0.06896551724137931,0.05,1
263,1,1,1,1,0.06896551724137931,0.1,2
264,0,1,0,1,0.0,0.05,2
265,0,1,0,1,0.0,0.05,2
266,0,1,0,1,0.0,0.05,2
267,0,0,0,0,0.0,0.0,0
268,1,0,1,0,0.06896551724137931,0.0,1
269,0,1,0,1,0.0,0.05,2
270,0,0,0,0,0.0,0.0,0
271,0,1,0,2,0.0,0.15000000000000002,2
272,0,0,0,0,0.0,0.0,0
273,1,1,1,1,0.034482758620689655,0.05,2
274,1,0,1,0,0.06896551724137931,0.0,1
275,1,0,1,0,0.06896551724137931,0.0,1
276,1,0,1,0,0.06896551724137931,0.0,1
277,0,1,0,1,0.0,0.05,2
278,1,1,1,1,0.06896551724137931,0.05,1
279,1,1,2,1,0.13793103448275862,0.05,1
280,0,1,0,1,0.0,0.05,2
281,0,0,0,0,0.0,0.0,0
282,1,1,1,1,0.06896551724137931,0.05,1
283,1,1,1,1,0.06896551724137931,0.05,1
284,0,1,0,1,0.0,0.05,2
285,1,0,1,0,0.06896551724137931,0.0,1
286,0,1,0,1,0.0,0.05,2
287,0,0,0,0,0.0,0.0,0
288,0,1,0,1,0.0,0.05,2
289,0,0,0,0,0.0,0.0,0
290,0,1,0,1,0.0,0.05,2
291,0,0,0,0,0.0,0.0,0
292,1,0,1,0,0.06896551724137931,0.0,1
293,0,1,0,1,0.0,0.05,2
294,1,0,1,0,0.06896551724137931,0.0,1
295,0,1,0,2,0.0,0.15000000000000002,2
296,0,1,0,2,0.0,0.15000000000000002,2
297,1,0,1,0,0.06896551724137931,0.0,1
298,1,0,2,0,0.13793103448275862,0.0,1
299,0,1,0,1,0.0,0.05,2
300,0,1,0,1,0.0,0.05,2
301,0,1,0,1,0.0,0.05,2
302,0,0,0,0,0.0,0.0,0
303,1,1,1,1,0.06896551724137931,0.05,1
304,0,0,0,0,0.0,0.0,0
305,1,0,2,0,0.10344827586206896,0.0,1
306,1,0,1,0,0.06896551724137931,0.0,1
307,1,1,1,1,0.06896551724137931,0.05,1
308,1,0,1,0,0.06896551724137931,0.0,1
309,0,0,0,0,0.0,0.0,0
310,1,0,1,0,0.06896551724137931,0.0,1
311,0,0,0,0,0.0,0.0,0
312,1,1,1,1,0.06896551724137931,0.1,2
313,0,1,0,1,0.0,0.05,2
314,1,0,2,0,0.10344827586206896,0.0,1
315,0,0,0,0,0.0,0.0,0
316,0,0,0,0,0.0,0.0,0
317,0,1,0,1,0.0,0.05,2
318,0,1,0,1,0.0,0.05,2
319,0,1,0,1,0.0,0.05,2
320,0,0,0,0,0.0,0.0,0
321,1,0,1,0,0.06896551724137931,0.0,1
322,1,0,1,0,0.06896551724137931,0.0,1
323,0,1,0,1,0.0,0.05,2
324,1,0,1,0,0.06896551724137931,0.0,1
325,0,1,0,1,0.0,0.05,2
326,0,1,0,1,0.0,0.05,2
327,1,1,1,1,0.06896551724137931,0.05,1
328,1,0,1,0,0.06896551724137931,0.0,1
329,0,0,0,0,0.0,0.0,0
330,1,1,1,2,0.06896551724137931,0.15000000000000002,2
331,1,0,1,0,0.06896551724137931,0.0,1
332,0,1,0,1,0.0,0.05,2
333,0,1,0,1,0.0,0.05,2
334,1,0,1,0,0.06896551724137931,0.0,1
335,0,0,0,0,0.0,0.0,0
336,0,1,0,2,0.0,0.15000000000000002,2
337,1,1,2,1,0.10344827586206896,0.1,1
338,1,0,1,0,0.06896551724137931,0.0,1
339,1,0,1,0,0.06896551724137931,0.0,1
340,1,0,1,0,0.06896551724137931,0.0,1
341,0,0,0,0,0.0,0.0,0
342,0,0,0,0,0.0,0.0,0
343,1,0,1,0,0.06896551724137931,0.0,1
344,1,0,1,0,0.06896551724137931,0.0,1
345,0,0,0,0,0.0,0.0,0
346,0,1,0,1,0.0,0.05,2
347,0,1,0,1,0.0,0.05,2
348,1,0,1,0,0.06896551724137931,0.0,1
349,1,1,2,1,0.10344827586206896,0.1,1
350,0,1,0,1,0.0,0.05,2
351,0,0,0,0,0.0,0.0,0
352,1,1,1,1,0.06896551724137931,0.05,1
353,1,1,1,1,0.06896551724137931,0.05,1
354,1,0,1,0,0.06896551724137931,0.0,1
355,1,0,1,0,0.034482758620689655,0.0,1
356,0,1,0,1,0.0,0.05,2
