,importance
Anomaly_Ground Excursion Runway,0.121558495
Contributing_Human Factors,0.06339879
Contributing_Logbook Entry,0.059094314
Contributing_Chart Or Publication,0.05785349
HumanFactors_Communication Breakdown,0.057630587
Contributing_Procedure,0.048883654
Contributing_Weather,0.03468331
Contributing_Company Policy,0.032213796
Contributing_Software and Automation,0.030652098
Anomaly_Inflight Event / Encounter Bird / Animal,0.023022229
Anomaly_Inflight Event / Encounter Weather / Turbulence,0.022292523
Contributing_Equipment / Tooling,0.01891934
Anomaly_Ground Excursion Taxiway,0.0187993
Anomaly_Ground Event / Encounter Ground Equipment Issue,0.017821103
HumanFactors_Training / Qualification,0.01720765
Anomaly_Aircraft Equipment Problem Less Severe,0.017117988
Anomaly_Aircraft Equipment Problem Critical,0.017018553
HumanFactors_Troubleshooting,0.01680962
Contributing_Airport,0.015889045
HumanFactors_Human-Machine Interface,0.015809191
Anomaly_ATC Issue All Types,0.015585536
HumanFactors_Workload,0.015254174
Contributing_Airspace Structure,0.014360102
HumanFactors_Time Pressure,0.013332981
Anomaly_Ground Event / Encounter FOD,0.013258735
Anomaly_Inflight Event / Encounter Wake Vortex Encounter,0.012898609
HumanFactors_Other / Unknown,0.012849903
Contributing_Aircraft,0.012847878
Anomaly_Inflight Event / Encounter Object,0.012674333
HumanFactors_Distraction,0.012465223
Contributing_Incorrect / Not Installed / Unavailable Part,0.012388579
Anomaly_Ground Event / Encounter Person / Animal / Bird,0.012311422
HumanFactors_Confusion,0.012162824
Anomaly_Ground Incursion Taxiway,0.012100214
HumanFactors_Situational Awareness,0.012079733
Contributing_Manuals,0.011922032
Anomaly_Ground Event / Encounter Object,0.0117664505
Contributing_Environment - Non Weather Related,0.011579306
HumanFactors_Fatigue,0.011172535
Anomaly_Ground Event / Encounter Weather / Turbulence,0.009884907
HumanFactors_Physiological - Other,0.009463716
Contributing_Staffing,0.009137844
Anomaly_Ground Excursion Ramp,0.007562855
Contributing_MEL,0.0074104583
Contributing_ATC Equipment / Nav Facility / Buildings,0.006854553
Anomaly_Ground Incursion Ramp,0.0
Anomaly_Ground Incursion Runway,0.0
Anomaly_Ground Event / Encounter Jet Blast,0.0
