 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645260,200501,1801-2400,ZZZ.Airport,US,,,0,,,VMC,10,,Night,3600,,Tower ZZZ.Tower,Air Carrier,PA-32 Cherokee Six/Lance/Saratoga/6X,,1,Part 121,IFR,Cargo / Freight / Delivery,,Landing,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 242.5; Flight Crew Total 2268.7,,Troubleshooting,,,645260,Facility ZZZ.Tower,,Government,Local,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Human Factors; Aircraft; Chart Or Publication,Human Factors,UPON NORMAL LNDG ON ROLLOUT 1000 FT DOWN RWY; I HEARD A POPPING NOISE AND L SIDE OF ACFT STARTED SINKING. I PULLED THE L MIXTURE AS SOON AS THIS HAPPENED; AND THE ACFT STARTED PULLING TO THE L MORE AND MORE AS THE GEAR FOLDED BACK. RECOVERED A DRAG LINK BOLT ON THE RWY. THE BOLT WAS COVERED IN GREASE AND DIRT ABOUT 3/4 OF THE WAY THROUGH; WITH ABOUT 1/4 OF NEW FRESHLY BROKEN METALS INDICATING THAT IT HAD A CRACK IN IT FOR SOME TIME. I FEEL THAT DUE TO THE APPARENT LENGTH OF TIME THAT THE BOLT WAS 3/4 BROKEN. THAT CLOSER INSPECTION AT ANNUAL/100 HR COULD HAVE POSSIBLY PREVENTED THIS PART FROM BEING STILL INSTALLED ON THE ACFT AND THIS WOULDN'T HAVE HAPPENED.,,,,A PA23-250 ON FINAL APCH AND LNDG HAD 3 GREEN LNDG GEAR INDICATIONS. ON ROLLOUT; THE L MAIN GEAR FOLDED AFT. CAUSED BY A BROKEN DRAG LINK BOLT.
645667,200501,1201-1800,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Cowling,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Maint Ctlr,Maintenance Powerplant; Maintenance Airframe; Maintenance Avionics; Maintenance Repairman,Maintenance Avionics 28; Maintenance Lead Technician 3; Maintenance Repairman 25; Maintenance Technician 35,,Troubleshooting,,,645667,,,Contracted Service,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Manuals; Logbook Entry; Human Factors; Chart Or Publication; Aircraft,Human Factors,TURNOVER AT START OF SHIFT FOR DISCOVERY OF R ENG INLET COWL DAMAGE OF ACFT X IN ZZZ. BEFORE THIS MAINT CTLR WAS ABLE TO RESEARCH THE SRM COMPLETELY; THE CONTRACT TECHNICIAN CALLED AND SAID THAT THE DAMAGE WAS WITHIN LIMITS. THEN HE STATED THAT WE NEEDED TO DEFER THE DAMAGE WITHOUT GIVING ANY MEASUREMENTS. THIS LED TO MISUNDERSTANDING AND MISINTERP; BECAUSE THIS CTLR BELIEVED THAT THE CONTRACT TECHNICIAN WAS READING FURTHER INTO SECTIONS B AND C INSTEAD OF SECTION 4A OF SRM 54-10-01. THERE WAS FURTHER MISCOM ABOUT ALLOWABLE DAMAGE; BUT WE DECIDED THAT THE DAMAGE WAS WITHIN SRM LIMITS. AFTER ACFT DEP FROM ZZZ AND RECONSIDERATION OF THE SRM; THE SHIFT MGR AND THIS CTLR ELECTED TO RECHK THE DAMAGE AT ZZZ1. RECHKED THE DAMAGE AT ZZZ1 AND MAINT OPTED TO REPLACE THE INLET COWL. THE SRM SECTION 54-10-01 IS NOT VERY CLR ON THE ALLOWABLE DAMAGE WITH THE ONLY MEASUREMENTS OF X=1T AND 20X BTWN AREAS. DENTS; NICKS; AND GOUGES SHOULD FOLLOW A MORE LOGICAL DELINEATION WITH MORE DEFINITION.,,,,A B737-800 R ENG INLET COWLING DAMAGE WAS EVALUATED BY A CONTRACT TECHNICIAN USING THE SRM. FOUND DAMAGE WITHIN LIMITS.
650267,200501,0001-0600,ZZZ.Airport,US,,0,0,,,,,,Night,,,,Air Carrier,B737-300,,2,Part 121,,,,Parked,,,,,,,,Testing,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Troubleshooting,,,650267,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Automation Aircraft Other Automation; Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Logbook Entry; Aircraft; Human Factors; Chart Or Publication; Environment - Non Weather Related,Human Factors,ON JAN/WED/05 I CHANGED THE #2 ENG CSD BECAUSE IT HAD DROPPED OFF LINE. I REMOVED THE #2 GENERATOR AND CSD. I THEN INSTALLED THE CSD AND THE GENERATOR. I PERFORMED A LEAK CHK AND OPS CHK OF BOTH COMPONENTS. EVERYTHING WAS DONE PER THE MAINT MANUAL. NO PROBS WERE NOTED. ON MAR/TUE/05 SHIFT MGR NOTIFIED ME THAT ON MAR/SAT/05 MECHS FOUND THE #2 ENG GENERATOR WITH A BROKEN SHAFT AND ONLY 1 MOUNT NUT HOLDING THE GENERATOR ON. TO THE BEST OF MY KNOWLEDGE; ALL THE NUTS WERE INSTALLED ON JAN/WED/05 WHEN I REINSTALLED THE GENERATOR.,,,,A B737-300 #2 ENG CONSTANT SPEED DRIVE WAS REPLACED. 3 DAYS LATER; GENERATOR FAILED WITH A SHEARED DRIVE SHAFT AND ONLY 1 MOUNT NUT PRESENT.
665454,200501,,ZZZ.Airport,US,,,,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,,Passenger,,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear Wheel,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 16,,Troubleshooting; Time Pressure,,,665454,Aircraft X,,Contracted Service,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Aircraft; Chart Or Publication; Company Policy; Human Factors,Company Policy,THERE IS A DIRECT CONTRADICTION BETWEEN MAINT MANUAL AND MEL BOOK. MEL BOOK SAYS TO REMOVE WHEEL (WITH BROKEN TIE BOLT) AND INSPECT THEN REINSTALL. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATED MAINT MANUAL DIRECTS THAT THE TIRE BE DEFLATED BEFORE REMOVAL. RPTR ALSO DISCUSSED CONTRACT MAINT WHEEL AND TIRE ASSEMBLY PROBS. TECHNICIANS RPTED FINDING BROKEN; LOOSE; AND MISSING WHEEL TIE BOLTS ON WHEELS BUILT UP BY A CONTRACT MAINT FACILITY. THE CAUSE WAS RPTED TO BE IMPROPER TORQUING OF THE WHEEL TIE BOLTS BUT OTHER FACTORS MAY BE INVOLVED SUCH AS REUSE OF WORN BOLTS.,,,,MEL FOR A320; DC10; AND DC9 HAS CONFLICT WITH INSTRUCTIONS ON BROKEN WHEEL TIE BOLTS; SAYS REMOVE AND INSPECT THEN REINSTALL. MAINT MANUAL STATES TO DEFLATE FIRST. THIS IS AN UNSERVICEABLE WHEEL WHEN A TIE BOLT IS BROKEN.
665724,200501,,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,B757-200,,2,Part 121,,,,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear Wheel,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 16,,Time Pressure; Troubleshooting,,,665724,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Aircraft; Chart Or Publication; Logbook Entry; Human Factors; Environment - Non Weather Related; Company Policy,Human Factors,#7 MAIN LNDG GEAR WHEEL HAS BROKEN TIE BOLT.,,,,A B757-200 WAS FOUND WITH #7 MAIN TIRE AND WHEEL ASSEMBLY BROKEN TIE BOLT.
665725,200501,,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,DC-9 Undifferentiated or Other Model,,2,Part 121,,,,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear Wheel,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 16,,Time Pressure; Troubleshooting,,,665725,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Human Factors; Logbook Entry; Environment - Non Weather Related; Company Policy; Chart Or Publication; Aircraft,Human Factors,#2 MAIN WHEEL ASSEMBLY HAS BROKEN THROUGH BOLT.,,,,A DC9 WAS FOUND WITH #2 MAIN WHEEL ASSEMBLY BROKEN THROUGH BOLT.
665726,200501,,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,A319,,2,Part 121,,,,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear Wheel,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 16,,Time Pressure; Troubleshooting,,,665726,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Logbook Entry; Environment - Non Weather Related; Human Factors; Company Policy; Chart Or Publication; Aircraft,Human Factors,R OUTBOARD WHEEL HUB HAS A NUT TWISTED OFF THE THROUGH BOLT.,,,,AN A319 R OUTBOARD WHEEL HUB HAS A NUT TWISTED OFF THE THROUGH BOLT.
665727,200501,,ZZZZ.Airport,FO,,0,0,,,,,,,,,,Air Carrier,DC-10 Undifferentiated or Other Model,,3,Part 121,,,,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear Wheel,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 16,,Time Pressure; Troubleshooting,,,665727,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Aircraft; Chart Or Publication; Logbook Entry; Human Factors; Environment - Non Weather Related; Company Policy,Human Factors,FOUND WHEEL ASSEMBLY #8 TIE BOLT BROKEN.,,,,A DC10 FOUND WITH #8 WHEEL ASSEMBLY TIE BOLT BROKEN.
