 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

645260,200501,1801-2400,ZZZ.Airport,US,,,0,,,VMC,10,,Night,3600,,Tower ZZZ.Tower,Air Carrier,PA-32 Cherokee Six/Lance/Saratoga/6X,,1,Part 121,IFR,Cargo / Freight / Delivery,,Landing,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Main Gear,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 242.5; Flight Crew Total 2268.7,,Troubleshooting,,,645260,Facility ZZZ.Tower,,Government,Local,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Human Factors; Aircraft; Chart Or Publication,Human Factors,"UPON NORMAL LNDG ON ROLLOUT 1000 FT DOWN RWY; I HEARD A POPPING NOISE AND L SIDE OF ACFT STARTED SINKING. I PULLED THE L MIXTURE AS SOON AS THIS HAPPENED; AND THE ACFT STARTED PULLING TO THE L MORE AND MORE AS THE GEAR FOLDED BACK. RECOVERED A DRAG LINK BOLT ON THE RWY. THE BOLT WAS COVERED IN GREASE AND DIRT ABOUT 3/4 OF THE WAY THROUGH; WITH ABOUT 1/4 OF NEW FRESHLY BROKEN METALS INDICATING THAT IT HAD A CRACK IN IT FOR SOME TIME. I FEEL THAT DUE TO THE APPARENT LENGTH OF TIME THAT THE BOLT WAS 3/4 BROKEN. THAT CLOSER INSPECTION AT ANNUAL/100 HR COULD HAVE POSSIBLY PREVENTED THIS PART FROM BEING STILL INSTALLED ON THE ACFT AND THIS WOULDN'T HAVE HAPPENED.",,,,"A PA23-250 ON FINAL APCH AND LNDG HAD 3 GREEN LNDG GEAR INDICATIONS. ON ROLLOUT; THE L MAIN GEAR FOLDED AFT. CAUSED BY A BROKEN DRAG LINK BOLT.",
645398,200502,1801-2400,ZZZ.Airport,US,,,,,,,,,,,,Center ZZZ1.ARTCC; Tower ZZZ.Tower,,B737-500,,2,Part 121,IFR,Passenger,,Cruise; Taxi; Parked,,Class A ZZZ1.A,,,,,,Repair,,,,,,,,,,,,,,,,,,Horizontal Stabilizer,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Captain; Pilot Flying,,Flight Crew Last 90 Days 250; Flight Crew Total 10000; Flight Crew Type 750,,Time Pressure; Troubleshooting,,,645398,Aircraft X,,Air Carrier,First Officer; Pilot Not Flying,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; Flight Crew Diverted; General Maintenance Action,Chart Or Publication; Aircraft; Company Policy; Logbook Entry; Environment - Non Weather Related; Human Factors,Company Policy,"WE WERE LATE ARRIVING ZZZ BECAUSE OF A MECHANICAL IN ORD AND TFC IN THE ZZZ ARPT AREA. AFTER PARKING; WE WERE TOLD THAT A RAMPIE NOTICED A DENT IN THE LEADING EDGE OF THE HORIZ STABILIZER AND RPTED IT TO MAINT. AFTER INSPECTING THE DENT; MAINT EVENTUALLY SIGNED IT OFF AND WE PUSHED BACK. WHILE ON THE TXWY; PRIOR TO TKOF; WE RECEIVED A MESSAGE FROM DISPATCH NOT TO TAKE OFF; AND TO RETURN TO THE RAMP. MAINT DID NOT LIKE THE FACT THAT MAINT SIGNED OFF THE DENT. AFTER RETURNING TO THE RAMP; ZZZ MAINT GOT BUSY FILLING IN THE DENT; AND WE CALLED FOR MORE FUEL. EVENTUALLY THE DENT WAS FILLED AND WE PUSHED BACK AGAIN. WE DEPARTED AND LEVELED AT CRUISE FOR A FEW MINS WHEN WE RECEIVED A MESSAGE FROM DISPATCH. THEY INFORMED US THAT THERE WAS CARGO IN THE FORWARD PIT; WHICH WAS PLACARDED TO BE LEFT EMPTY. DISPATCH SAID THAT THERE WAS A CHAIR AND AN ACFT COMPUTER IN THE PIT AND NO COMBUSTIBLE MATERIAL (APPARENTLY THE PIT WAS TO BE KEPT EMPTY BECAUSE THE FIRE DETECTOR WAS INOP). HE WANTED TO KNOW WHAT I THOUGHT ABOUT CONTINUING VERSUS MAKING A STOP TO GET THE CARGO OUT OF THE PIT. I THOUGHT THAT WE SHOULD CONTINUE; BUT DISPATCH DID NOT TRUST THE RAMP PERSONNEL BY THIS TIME; THINKING THAT IF THEY MISTAKENLY PLACED CARGO IN THE PIT; THEY MAY ALSO HAVE PLACED MORE VOLATILE MATERIALS THERE. HE ALSO FOUND OUT THAT CARGO WAS PLACED IN THE FORWARD PIT FROM ORD-ZZZ ON OUR PREVIOUS LEG -- AGAIN; AGAINST SOP. WE DECIDED TO DIVERT TO GET THE CARGO OUT OF THE PIT. THE CARGO WAS REMOVED AND WE AGAIN TOOK ON MORE FUEL. THE FINAL LEG WAS UNEVENTFUL; EXCEPT FOR SOME VERY ANGRY CUSTOMERS. I KEPT THE CUSTOMERS INFORMED OF EVERYTHING THAT WAS GOING ON THROUGHOUT THIS TERRIBLE ORDEAL. I HAVE NEVER EXPERIENCED SO MANY CASCADING MISTAKES IN A SINGLE DAY. THE CUSTOMERS HAD EVERY RIGHT TO BE ANGRY. WE LOOKED ANYTHING BUT PROFESSIONAL.",,,,"A B737-500 CAPT RPTS A NEEDLESS DELAY ON DEP CAUSED BY MAINT AND A DIVERSION CAUSED BY IMPROPER LOADING OF A COMPARTMENT THAT WAS TO REMAIN EMPTY.",
645667,200501,1201-1800,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Cowling,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Maint Ctlr,Maintenance Powerplant; Maintenance Airframe; Maintenance Avionics; Maintenance Repairman,Maintenance Avionics 28; Maintenance Lead Technician 3; Maintenance Repairman 25; Maintenance Technician 35,,Troubleshooting,,,645667,,,Contracted Service,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Manuals; Logbook Entry; Human Factors; Chart Or Publication; Aircraft,Human Factors,"TURNOVER AT START OF SHIFT FOR DISCOVERY OF R ENG INLET COWL DAMAGE OF ACFT X IN ZZZ. BEFORE THIS MAINT CTLR WAS ABLE TO RESEARCH THE SRM COMPLETELY; THE CONTRACT TECHNICIAN CALLED AND SAID THAT THE DAMAGE WAS WITHIN LIMITS. THEN HE STATED THAT WE NEEDED TO DEFER THE DAMAGE WITHOUT GIVING ANY MEASUREMENTS. THIS LED TO MISUNDERSTANDING AND MISINTERP; BECAUSE THIS CTLR BELIEVED THAT THE CONTRACT TECHNICIAN WAS READING FURTHER INTO SECTIONS B AND C INSTEAD OF SECTION 4A OF SRM 54-10-01. THERE WAS FURTHER MISCOM ABOUT ALLOWABLE DAMAGE; BUT WE DECIDED THAT THE DAMAGE WAS WITHIN SRM LIMITS. AFTER ACFT DEP FROM ZZZ AND RECONSIDERATION OF THE SRM; THE SHIFT MGR AND THIS CTLR ELECTED TO RECHK THE DAMAGE AT ZZZ1. RECHKED THE DAMAGE AT ZZZ1 AND MAINT OPTED TO REPLACE THE INLET COWL. THE SRM SECTION 54-10-01 IS NOT VERY CLR ON THE ALLOWABLE DAMAGE WITH THE ONLY MEASUREMENTS OF X=1T AND 20X BTWN AREAS. DENTS; NICKS; AND GOUGES SHOULD FOLLOW A MORE LOGICAL DELINEATION WITH MORE DEFINITION.",,,,"A B737-800 R ENG INLET COWLING DAMAGE WAS EVALUATED BY A CONTRACT TECHNICIAN USING THE SRM. FOUND DAMAGE WITHIN LIMITS.",
646103,200502,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B757-200,,2,Part 121,,Passenger,,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Fuselage Door Frame,,X,Design; Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,,Maintenance Powerplant; Maintenance Inspection Authority; Maintenance Airframe,Maintenance Technician 20,,Troubleshooting,,,646103,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Aircraft; Airspace Structure; Chart Or Publication; Human Factors,Aircraft,"FOUND 2 (EA) #4 DOOR R; CRACKED DOOR STOP; BACKUP FITTING AT STRINGER 11 R AND 13 R. ACFT WAS IN HEAVY CHK. FOUND DURING STRUCTURE INSPECTION. FOUND SEVERAL CRACKED FITTINGS ON PREVIOUS ACFT IN HEAVY CHK IN SAME AREA. FITTING PART #X STOCK #Y. NEED A SPECIFIC INSPECTION FOR THAT AREA. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE LAST B757-200 HEAVY CHK THE RPTR WORKED; 5 CRACKED DOOR STOP BRACKETS WERE DISCOVERED AND NOT ALL ON ONE DOOR. THIS AIRPLANE IN THE RPT HAD TWO BRACKETS CRACKED AND THIS RPTR BELIEVES CLOSER INSPECTION SHOULD BE MADE OF THESE DOOR STOP BRACKETS. THE INSPECTION JOB CARD NEEDS A REVISION ADDING THE SPECIFIC STEP TO INSPECT THE STOP BRACKETS FOR CRACKS. THE INSPECTION JOB CARD ONLY CALLS FOR AN OVERALL VISUAL INSPECTION OF THE ENTIRE DOOR AND FRAME.",,,,"A B757-200 DURING A HEAVY MAINT CHK WAS FOUND TO HAVE 2 CRACKED DOOR STOP BRACKETS ON DOOR #4 R AT STRINGER 11 R; AND 13 R.",
646121,200502,1201-1800,ZZZ.Airport,US,,0,0,,,,,,Daylight,,,,Air Carrier,B737-500,,2,Part 121,IFR,Passenger,,Parked; Taxi,,,,,,,,Testing,,,,,,,,,,,,,,,,,,Rudder Pedal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 18,,Time Pressure; Troubleshooting,,,646121,Company,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Avionics; Maintenance Airframe,Maintenance Avionics 19,,,,,646076,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,Aircraft Aircraft Damaged; General Maintenance Action,Logbook Entry; Human Factors; Aircraft; Chart Or Publication; Environment - Non Weather Related,Human Factors,"I'M WRITING THIS TO INFORM THAT I WORKED ON THE INSTALLATION OF THE FO'S RUDDER PEDAL SHROUD ASSEMBLY. I DISCONNECTED BOTH FO'S PEDALS AT THE UPPER BRAKE CTL ROD ENDS FOR BETTER ACCESS TO INSTALL THE FORWARD AND UPPER SECTIONS OF THE SHROUD ASSEMBLY. I FINISHED THE INSTALLATION OF THE SHROUDS; CLAMPED THE RUDDER PEDAL POS ADJUSTMENT CONDUIT TO THE FORWARD SHROUD AND RE-CONNECTED BOTH FO'S RUDDER PEDALS TO THE BRAKE CTL ROD ENDS -- TIGHTENED AND CHKED PEDAL TRAVEL WITH ADJUSTMENT KNOB. (FLT CREW RETURNED TO GATE AFTER ENCOUNTERING RUDDER PEDAL TRAVEL ISSUES -- INSPECTION DETERMINED BRAKE CTL ROD NOT CONNECTED PROPERLY AND ROD END FRACTURED.)",,,,"A B737-500 AFTER PUSHBACK RETURNED TO THE GATE WITH RUDDER TRAVEL PROBS. FOUND BRAKE CTL ROD ON FO'S PEDAL NOT CONNECTED PROPERLY AND ROD END FRACTURED. PREVIOUS FO'S RUDDER PEDAL SHROUD ASSEMBLY INSTALLED.",
647548,200502,1201-1800,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Supplemental Landing Gear,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,,,,Time Pressure,,,647548,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Human Factors,Human Factors,"WE WERE DOING A PS-2 INSPECTION ON ACFT. THE R-HAND SHIMMY DAMPENER WAS LOW OF SKYDROL. THE PARTS DEPT AT 'B' SIDE DIDN'T HAVE A FITTING TO SVC THE DAMPENER. WE FINALLY FOUND A FITTING AT THE HANGAR AND WENT TO GET THE SKYDROL PUMP IN MY MULE [LIGHT SVC VEHICLE TO CARRY PARTS AND TOOLS]. THE TAIL GATE WAS BENT UP SO BAD THAT TO CLOSE IT I HAD TO USE A SCREWDRIVER TO PRY IT DOWN TO CLOSE. MY INTENTION WAS TO LEAVE THE SKYDROL PUMP IN THE MULE TO SVC THE DAMPENER SINCE THERE WAS PLENTY OF HOSE. I DROVE BACK TO THE ACFT AND BESIDE IT AND ANOTHER MULE; I THOUGHT I WAS AT LEAST 2 FT FROM ACFT. ANOTHER ACFT WAS GOING BY AND I DIDN'T HEAR THE NOISE AT FIRST. AS SOON AS I HEARD THE SCRAPE; I STOPPED AND MOVED THE MULE AWAY FROM ACFT. I RPTED IT TO THE CREW CHIEF. WE SVCED THE SHIMMY DAMPENER AND I STARTED MAPPING OUT GOUGE.",,,,"A CRJ700 INCURRED LOWER FUSELAGE SKIN DAMAGE JUST FORWARD OF THE MAIN WHEEL WELL WHEN STRUCK BY A LIGHT SVC VEHICLE.",
648810,200502,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,EMB ERJ 140 ER/LR,,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal Stabilizer,,X,,,Air Carrier,Regional Jet CL65; Undifferentiated or Other Model,,2,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Technician,,,,Time Pressure,,,648810,Company,,Air Carrier,Technician,,,,,,,647938,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Other / Unknown,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Environment - Non Weather Related; Human Factors,Human Factors,"AT AROUND XA50; I WAS MARSHALLING ACFT X WHICH WAS PARKED NEXT TO ACFT Y AND ACFT Z AND DIDN'T REALIZE THAT IT WAS TOO CLOSE TO ACFT Y. WHEN STARTING TO TAXI AND TURN; THE TAILS CLIPPED EACH OTHER. THE HORIZ STABILIZER TIP AND THE ELEVATOR ON ACFT X CLIPPED THE TIP OF THE HORIZ STABILIZER ON ACFT Y CAUSING DAMAGE TO BOTH TIPS. TAXIING ACFT X WERE MR A; L SEAT; AND MR B; R SEAT. MARSHALING WAS MYSELF AND REMOVING CHOCKS WAS MR C; WALKING THE R SIDE OF ACFT X WAS D. ASSUMING THAT I HAD WING WALKERS WITHOUT ASKING FIRST; ASSUMING THAT WALKAROUND WAS DONE CORRECTLY AND BEING RUSHED I THINK WERE THE CONTRIBUTING FACTORS.",,,,"AN EMB140 AND A CL65. EMB TAXIED OUT AND MADE A TURN STRIKING THE STABILIZER AND ELEVATOR OF THE CL65 INCURRING DAMAGE TO BOTH ACFT.",
649112,200502,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Cowling,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Technician,,,,Time Pressure; Troubleshooting,,,649112,Aircraft X,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Aircraft; Human Factors,Human Factors,"EMPLOYEE MIGHT HAVE LEFT PLIERS IN TURTLEBACK AREA OF #1 ENG INBOARD SIDE WHILE ON CLOSE UP ACFT.",,,,"AN ACR WAS DISCOVERED TO HAVE DAMAGE TO #1 ENG L SIDE COWLING CAUSED BY TECHNICIAN'S TOOL (PLIERS) LEFT IN COWLING.",
