Error_flag,Violation_flag,Err_anom_count,Viol_anom_count,Err_weight_sum,Viol_weight_sum,y3
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
0,1,0.0,0.0,0,0,2
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
1,0,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
1,1,0.0,0.0,0,0,1
0,0,0.0,0.0,0,0,0
0,1,0.0,0.0,0,0,2
